time,runtime
0.0935586,2.9685e-01
0.3904087,1.4356e-03
0.3918468,7.5539e-04
0.3926045,6.0132e-03
0.3986201,5.4995e-04
0.3991723,6.6094e-04
0.3998354,3.4522e-02
0.4343596,1.7249e-03
0.4360870,2.8907e-03
0.4389802,2.9186e-03
0.4419013,9.3482e-04
0.4428384,2.0330e-03
0.4448738,1.1043e-03
0.4459805,2.1369e-03
0.4481198,2.2456e-02
0.4705786,2.7314e-03
0.4733126,7.7746e-03
0.4810895,4.0856e-04
0.4815001,7.8446e-04
0.4822870,4.2113e-03
0.4865007,8.3136e-03
0.4948170,1.6526e-03
0.4964720,5.3099e-04
0.4970053,1.4741e-03
0.4984816,1.7110e-03
0.5001947,2.7585e-04
0.5004725,2.9805e-03
0.5034553,2.5814e-02
0.5292718,2.7389e-02
0.5566635,1.4104e-03
0.5580763,3.5196e-04
0.5584306,3.2380e-04
0.5587567,6.0499e-03
0.5648091,1.3982e-02
0.5787934,2.9476e-02
0.6082722,4.0701e-04
0.6086815,8.7836e-04
0.6095623,5.0937e-03
0.6146584,5.5057e-04
0.6152112,1.8385e-02
0.6335990,1.5198e-02
0.6488000,3.0694e-03
0.6518720,3.3230e-02
0.6851046,5.3680e-03
0.6904752,1.4693e-03
0.6919468,2.9672e-03
0.6949165,5.6367e-03
0.7005557,9.2272e-03
0.7097856,2.2905e-03
0.7120786,1.2157e-02
0.7242453,4.8113e-03
0.7290593,6.0989e-04
0.7296715,4.5607e-04
0.7301300,1.3054e-03
0.7314377,1.0767e-03
0.7325168,3.1513e-03
0.7356706,2.8045e-03
0.7384775,9.8231e-03
0.7483032,2.6688e-03
0.7509745,1.6261e-03
0.7526031,1.5010e-03
0.7541066,1.9301e-03
0.7560390,1.9625e-03
0.7580039,2.2983e-03
0.7603045,1.6582e-03
0.7619650,1.0673e-03
0.7630347,2.8718e-03
0.7659089,3.6057e-03
0.7695169,2.6338e-02
0.7958578,3.4411e-03
0.7993014,8.3560e-03
0.8076602,5.2263e-03
0.8128892,1.9798e-02
0.8326900,2.2028e-03
0.8348954,2.3906e-03
0.8372885,1.9211e-03
0.8392120,2.1050e-03
0.8413194,1.3865e-03
0.8427085,1.2312e-03
0.8439420,1.9833e-03
0.8459277,1.7323e-02
0.8632533,2.5211e-03
0.8657770,2.2307e-03
0.8680101,1.9898e-03
0.8700022,9.3253e-03
0.8793302,2.6653e-03
0.8819980,3.2386e-03
