time,runtime
0.0548727,6.6988e-03
0.1289051,2.3824e-04
0.2530155,2.7657e-04
0.3161700,3.8450e-04
0.3296911,4.8158e-04
0.3486615,5.4914e-04
0.3698290,3.3587e-04
0.4035202,2.4347e-02
0.4482085,1.9629e-04
0.4884825,4.0564e-04
0.5319937,1.8575e-04
0.5364432,1.9067e-03
0.5479810,3.4963e-03
0.5686720,5.4310e-03
0.6052712,2.6697e-04
0.6449779,2.1029e-04
0.6592922,6.3080e-03
0.6816227,2.3519e-04
0.7112674,1.7858e-04
0.7340493,2.2042e-03
0.7433802,2.3265e-04
0.7541110,1.9400e-04
0.7732650,1.9981e-04
0.7989559,2.6425e-04
0.8076243,1.9880e-04
0.8095397,3.1062e-04
0.8112859,1.4633e-04
0.8245571,1.7056e-04
0.8389471,1.9574e-04
0.8461540,2.1005e-04
0.8644291,7.0950e-03
0.9034056,2.1061e-03
0.9821937,8.6278e-04
1.0595456,2.9509e-04
1.0905732,2.6642e-04
1.0931015,1.6948e-04
1.1157528,8.5130e-03
1.1555874,2.9020e-04
1.1577437,1.6238e-04
1.1834352,1.6896e-04
1.2115837,2.2120e-04
1.2392632,2.8128e-04
1.2670298,3.6342e-04
1.3093257,1.9617e-04
1.3224639,4.3984e-04
1.3248801,2.1762e-04
1.3580647,4.3959e-04
1.3603916,1.9073e-04
1.3621811,2.4775e-04
1.3639218,2.0779e-04
1.3657291,2.1592e-04
1.3717064,2.3812e-04
1.4031142,3.0554e-03
1.4854198,2.4665e-04
1.5348102,2.2157e-04
1.5465599,2.9939e-04
1.5491742,2.8232e-04
1.5547439,2.9377e-04
1.7191443,2.1808e-04
1.7321391,2.2120e-04
1.7343248,2.0950e-04
1.7598895,4.5003e-04
1.8319740,2.4897e-04
1.8343168,1.9655e-04
1.8554155,3.0857e-04
1.8921580,2.3101e-04
1.8945391,1.8812e-04
1.8968875,2.3218e-04
1.8989439,2.3756e-04
1.9009809,1.7153e-04
1.9272727,2.2696e-04
1.9559643,3.0492e-04
1.9592856,1.6799e-04
1.9638290,1.5671e-04
1.9813001,2.0632e-04
1.9877632,3.7784e-03
1.9935117,2.3995e-04
1.9955536,1.8418e-04
1.9974272,1.1291e-02
2.0238709,2.2869e-04
2.0288031,4.0296e-04
2.0502379,3.3491e-03
2.0553510,1.8561e-04
2.0731752,8.4703e-04
2.0894585,2.6359e-04
