time,runtime
0.0000039,6.8286e-03
0.0877170,1.0292e-03
0.1092526,9.3370e-04
0.1592861,1.3656e-03
0.2935712,6.7530e-03
0.3424926,1.0941e-03
0.3580714,1.2958e-03
0.3612278,9.6287e-04
0.3729358,1.3985e-03
0.3757125,1.1991e-03
0.3786491,9.6818e-04
0.4181973,9.2621e-04
0.4403476,9.7377e-04
0.4702018,1.8539e-03
0.4736276,1.2623e-03
0.4875635,1.0299e-03
0.4927348,9.5458e-04
0.5201998,6.8537e-04
0.5496507,1.0032e-03
0.5578014,9.3436e-04
0.5651690,6.8367e-04
0.5747110,7.0411e-04
0.5890339,8.0304e-04
0.6358698,1.2027e-03
0.6530952,9.9827e-04
0.6645011,5.7236e-03
0.6871758,7.0030e-04
0.6994931,1.2379e-03
0.7726818,1.1161e-03
0.7755570,1.0621e-03
0.7781250,9.7346e-04
0.7828050,8.6557e-04
0.7969516,1.0760e-03
0.8498183,1.2773e-03
0.8786155,8.0376e-04
0.9007803,9.6864e-04
0.9307121,8.2745e-04
0.9673972,1.1597e-03
1.0193491,9.8258e-04
1.0662613,1.2349e-03
1.0825319,1.1710e-03
1.1396172,6.9219e-04
1.1662352,6.2121e-04
1.1685666,6.7998e-04
1.1799492,1.1588e-03
1.1909944,1.3362e-03
1.2171177,1.0266e-03
1.2298263,1.2915e-03
1.2416216,6.5236e-04
1.2437946,8.5348e-04
1.2563596,6.1784e-04
1.2593195,6.2058e-04
1.2749345,6.9277e-04
1.3039203,6.1037e-04
1.3062876,5.8981e-04
1.3382437,8.6012e-04
1.3602464,5.8111e-04
1.3741066,7.7588e-04
1.3902422,9.3606e-04
1.4263215,6.4589e-04
1.4429770,1.0690e-03
1.4721463,5.5007e-04
1.4744649,1.0135e-03
1.4906502,7.2770e-04
1.4929080,5.5227e-04
1.5106865,8.1252e-04
1.5136403,6.6904e-04
1.5495803,1.2692e-03
1.5933664,7.0921e-04
1.6126477,6.2080e-04
1.6153466,8.5692e-04
1.6552778,6.6947e-04
1.6751323,6.2613e-04
1.7006798,6.6038e-04
1.7251484,6.5996e-04
1.7347270,7.1451e-04
1.7845275,7.1151e-04
1.8071877,6.0035e-04
1.8942400,6.9615e-04
1.9045806,6.8207e-04
1.9220164,6.5071e-04
1.9317023,8.8648e-04
1.9607288,8.8071e-04
1.9895478,6.9319e-04
2.0321980,8.0573e-04
2.0351167,8.0072e-04
2.0509529,6.6435e-04
2.0635476,1.0981e-03
2.0770793,8.1064e-04
2.0897028,1.7935e-03
2.0930665,6.7912e-04
2.1033859,1.3755e-03
2.1273460,6.7739e-04
2.1427317,7.1803e-04
2.1469250,5.4434e-04
2.1575663,6.5924e-04
2.1620598,8.4715e-04
2.1643939,7.9424e-04
2.1683147,8.0787e-04
2.1858954,6.7353e-04
2.2346687,7.9447e-04
2.2554052,7.3675e-04
2.2742474,7.7444e-04
2.2944958,1.0039e-03
2.3108282,6.9607e-04
2.3132770,5.2724e-04
2.3251646,9.4246e-04
2.3422353,8.4709e-04
2.3751013,8.3659e-04
2.3904252,7.7245e-04
2.4057643,5.9718e-04
2.4193475,5.4392e-04
2.4482510,5.5602e-04
2.4614327,5.4617e-04
2.5241215,5.4400e-04
2.5342700,6.2748e-04
2.5917327,4.8688e-04
2.6118209,4.9801e-04
2.6156151,4.7691e-04
2.6210237,5.4289e-04
2.6283798,6.2942e-04
2.6449351,6.3032e-04
2.6470578,4.7757e-04
2.6491470,4.3504e-04
2.6582901,5.2004e-04
2.6715329,9.5869e-04
2.6742198,4.5969e-04
2.7756574,6.0337e-04
2.8013866,4.2311e-04
2.8568554,5.7168e-04
2.9402828,7.4612e-04
2.9428473,4.9889e-04
2.9449005,4.2619e-04
2.9978542,7.6217e-04
3.0054297,7.3442e-04
3.0124669,4.9574e-04
3.0144796,5.4803e-04
3.0342541,4.9705e-04
3.0395956,5.3154e-04
3.0819635,5.9364e-04
3.0843012,5.7168e-04
3.0865378,5.7763e-04
3.1306181,4.7620e-04
3.1506667,4.4574e-04
3.2146940,4.4619e-04
3.2315006,4.3386e-04
3.2460120,5.2268e-04
3.2602010,5.4519e-04
3.3089633,5.9309e-04
3.3339484,5.1579e-04
3.3659120,4.8717e-04
3.3684189,5.4762e-04
3.3706510,5.2317e-04
3.3725502,8.9708e-04
3.3748336,5.4535e-04
3.3813164,7.6112e-04
3.3837402,6.0110e-04
3.3858650,5.2865e-04
3.3880277,5.1446e-04
3.3900681,4.2281e-04
3.4031911,4.9120e-04
3.4054239,4.7035e-04
3.4076087,4.2014e-04
3.4207010,4.8474e-04
3.4832175,4.7548e-04
3.5019314,5.7333e-04
3.5153143,5.6702e-04
3.5173626,5.2734e-04
3.5194137,5.4524e-04
3.5217180,4.7444e-04
3.5236714,5.1451e-04
3.5256503,3.8459e-04
3.5388753,5.4091e-04
3.5412245,7.1660e-04
3.5435023,5.3008e-04
3.5455165,6.5811e-04
3.5475776,4.9179e-04
3.5495903,4.2321e-04
3.5517993,4.1393e-04
3.5537705,4.2080e-04
3.6270075,4.2615e-04
3.6635838,5.1151e-04
3.6820016,4.2792e-04
3.6871316,5.4864e-04
3.6970541,4.3634e-04
3.7114046,4.5557e-04
3.7934413,5.1869e-04
3.7955682,5.3111e-04
3.7977157,4.6105e-04
3.7996857,5.3196e-04
3.8189089,5.3865e-04
3.8641119,6.1807e-04
3.9372194,6.5755e-04
4.0161605,6.8803e-04
4.0188799,5.8302e-04
4.0211368,6.0016e-04
4.0373564,4.5672e-04
4.0457320,4.4731e-04
4.0477281,6.6160e-04
4.0510554,5.3718e-04
4.0530205,5.3447e-04
4.0549455,4.0292e-04
4.0571322,3.8118e-04
4.0591125,4.1611e-04
4.0610094,5.5259e-04
4.0631490,3.8584e-04
4.0656791,6.1407e-04
4.0678196,6.2104e-04
4.1773586,5.1861e-04
4.2676420,4.5422e-04
4.2851653,5.2136e-04
4.3130846,6.0846e-04
4.3451462,6.0356e-04
4.3585873,5.9953e-04
4.3716240,4.8597e-04
4.3765440,6.9410e-04
4.3791986,7.8580e-04
4.3816357,5.3371e-04
4.3838782,4.7126e-04
4.3860230,7.3336e-04
4.3976941,1.4462e-02
4.4136519,5.9198e-04
4.4544497,5.9549e-04
4.4577203,5.3517e-04
4.5165849,6.2363e-04
4.5476775,6.0976e-04
4.5983820,4.6332e-04
4.6145492,6.4685e-04
4.6352124,4.5678e-04
4.6374688,4.7042e-04
4.6550875,5.4130e-04
4.6572104,5.0855e-04
4.6699138,5.2616e-04
4.6720719,4.8536e-04
4.6739917,3.9411e-04
4.7011256,4.4053e-04
4.7031341,4.7705e-04
4.7061892,1.1793e-03
4.7457361,6.3540e-04
4.7561765,5.4690e-04
4.7584677,5.0067e-04
4.7634072,4.4817e-04
4.8396482,4.7379e-04
4.8602867,4.8260e-04
4.8625283,5.4933e-04
4.8683724,5.1555e-04
4.8802624,4.0235e-04
4.8997226,4.8906e-04
4.9079447,4.8389e-04
4.9099522,4.3743e-04
4.9120655,4.7018e-04
4.9139433,6.8245e-04
4.9162893,5.5567e-04
4.9182687,5.0372e-04
4.9444704,4.2801e-04
4.9614425,7.0242e-04
4.9791861,3.1406e-02
5.0122600,2.9838e-03
5.0176225,6.2184e-04
5.0201597,5.9833e-04
5.0223150,4.3283e-04
5.0242229,8.9829e-04
5.0267315,5.5959e-04
5.0366788,4.8744e-04
5.0613985,7.9694e-04
5.0657864,5.0039e-04
5.0722847,5.4132e-04
5.0851970,5.7861e-04
5.1112051,5.2702e-04
5.1131926,4.0184e-04
