time,runtime
0.0103308,1.1310e-01
0.1272830,1.9841e-01
0.3273356,1.6759e-01
0.4967934,4.0578e-02
0.5388410,5.9776e-04
0.5409964,1.6816e-02
0.5592801,4.8257e-02
0.6090589,7.2584e-04
0.6113617,3.2941e-02
0.6459305,1.6965e-02
0.6645044,1.4647e-02
0.6810622,9.0218e-03
0.6918797,2.4205e-02
0.7182603,3.7574e-03
0.7235427,5.2998e-02
0.7781136,3.3544e-02
0.8132783,3.3874e-02
0.8487267,3.1797e-02
0.8825724,1.1422e-02
0.8955845,1.4446e-02
0.9116510,4.6682e-02
0.9600376,1.2925e-02
0.9746557,7.9643e-03
0.9846035,4.1519e-02
1.0282288,1.8989e-02
1.0488653,7.4932e-02
1.1256148,1.0487e-02
1.1379448,6.7445e-03
1.1462243,4.4300e-02
1.1927689,2.0482e-02
1.2149723,1.7335e-02
1.2339284,8.5184e-03
1.2439327,1.5198e-02
1.2610826,1.7650e-02
1.2802918,2.7017e-03
1.2849249,4.1747e-02
1.3281338,9.8304e-03
1.3395884,1.0848e-02
1.3520608,3.6702e-02
1.3903892,1.6403e-02
1.4085207,1.0405e-02
1.4218808,1.1175e-02
1.4362961,1.4633e-02
1.4524446,1.5691e-02
1.4698119,3.4584e-02
1.5062869,9.3834e-03
1.5174047,1.3466e-02
1.5324180,4.2835e-03
1.5383430,7.7171e-03
1.5475901,6.7870e-03
1.5560235,2.0160e-02
1.5782341,2.7031e-02
1.6069418,1.5160e-02
1.6244292,1.5889e-02
1.6425692,1.1745e-02
1.6558383,1.3037e-02
1.6707578,2.0062e-02
1.6933399,1.1200e-02
1.7062064,1.2704e-02
1.7205437,4.7511e-02
1.7694210,4.3210e-03
1.7753521,3.5751e-02
1.8127214,1.4349e-02
1.8285534,1.4605e-02
1.8447556,1.8721e-02
1.8650144,1.1665e-02
1.8782338,6.3202e-04
1.8808879,1.3125e-02
1.8972898,1.0394e-02
1.9094627,1.5205e-02
1.9262966,5.4848e-03
1.9346162,1.4250e-02
1.9553034,1.6099e-02
1.9733615,1.0607e-02
1.9937755,1.7657e-02
2.0139611,4.2374e-02
2.0579369,1.2276e-02
2.0778821,1.7103e-02
2.0966010,2.3484e-02
2.1222463,1.5620e-02
2.1396487,2.9206e-02
2.1713936,3.6851e-02
2.2099047,1.0181e-02
2.2220562,1.1976e-02
2.2355654,1.8454e-02
2.2557833,7.8474e-02
2.3360250,1.6922e-02
2.3546791,3.1014e-02
2.3876398,9.8114e-03
2.3992465,2.6328e-02
2.4274995,2.2220e-02
2.4513564,2.6881e-02
2.4798231,5.5623e-04
2.4819381,6.0549e-04
2.4840925,1.5484e-02
2.5011604,1.8579e-02
2.5219617,1.0572e-03
2.5245273,2.6964e-02
2.5530102,6.8941e-04
2.5554321,3.7013e-02
2.5942128,1.9598e-02
2.6156332,7.0605e-04
2.6184464,4.0084e-03
2.6243577,5.7271e-04
2.6265333,8.2411e-04
2.6312599,2.2364e-02
2.6593187,7.4125e-03
2.6685328,6.6867e-04
2.6708691,1.7062e-02
2.6903915,9.8777e-04
2.6934395,4.5603e-02
2.7408190,1.0652e-03
2.7442002,9.4063e-03
2.7552853,2.3715e-02
2.7806993,1.2648e-02
2.7950926,2.9855e-03
2.7998719,7.7815e-04
2.8022172,7.2079e-03
2.8113961,5.7408e-04
2.8135245,8.3019e-04
2.8158569,1.9463e-02
2.8397830,6.7261e-04
2.8421586,7.5019e-04
2.8445690,2.5546e-02
2.8716946,9.8471e-03
2.8838167,2.1200e-02
2.9067090,7.6682e-04
2.9092267,7.9017e-04
2.9117699,8.7078e-04
2.9143190,6.9116e-04
2.9164712,6.8904e-03
2.9247327,4.0214e-02
2.9664826,6.7196e-04
2.9688828,7.2503e-04
2.9713471,7.3040e-04
2.9737504,6.5430e-04
2.9762225,5.2679e-03
2.9832129,1.5344e-02
3.0003183,6.9341e-04
3.0025814,1.9778e-02
3.0241315,2.3179e-02
3.0491872,9.2752e-04
3.0518048,6.9965e-04
3.0542693,3.1410e-02
3.0873761,6.0241e-04
3.0895162,7.2100e-04
3.0919161,5.5436e-04
3.0939493,4.6386e-02
3.1421883,6.7059e-03
3.1503706,5.5697e-04
3.1525919,1.0563e-03
3.1551886,7.3828e-04
3.1573272,6.7396e-04
3.1596646,5.3404e-04
3.1616924,6.4189e-04
3.1638150,6.2188e-04
3.1658590,7.3491e-03
3.1749694,8.8186e-04
3.1775084,5.7917e-04
3.1796925,1.6505e-02
3.1983795,7.7892e-02
3.2781539,2.4884e-02
3.3047090,7.8832e-04
3.3072429,6.1415e-04
3.3093784,6.3201e-04
3.3113790,5.2150e-04
3.3135171,7.4384e-04
3.3180187,6.0704e-04
3.3201807,6.3377e-04
3.3222337,6.9703e-04
3.3242588,6.4761e-04
3.3264561,5.8013e-04
3.3284774,1.1860e-03
3.3315721,6.2099e-04
3.3337495,6.7444e-04
3.3357325,6.0460e-04
3.3377614,7.1600e-04
3.3400586,5.8945e-04
3.3423743,1.0545e-03
3.3449354,6.0413e-04
3.3469169,5.9682e-04
3.3491282,6.1513e-04
3.3510909,6.0310e-04
3.3530035,5.9034e-04
3.3549869,1.8332e-02
3.3752770,8.7910e-04
3.3776007,7.0348e-04
3.3799267,6.9788e-04
3.3822727,5.1253e-02
3.4549627,7.4674e-04
3.4574542,6.0135e-04
3.4594054,7.5103e-04
3.4618127,7.4712e-04
3.4650564,5.5337e-03
3.4722319,1.2215e-02
3.4860647,6.5076e-04
3.4882452,6.4859e-04
3.4905813,5.5761e-02
3.5482457,7.8661e-04
3.5515332,6.5342e-04
3.5540020,9.0935e-03
3.5647790,1.2202e-02
3.5787077,1.9353e-02
3.5998416,7.0695e-04
3.6021972,2.1550e-02
3.6253681,3.1735e-02
3.6589766,7.9774e-03
3.6689904,1.0615e-02
3.6810455,8.0700e-04
3.6832297,7.2533e-04
3.6854234,6.0638e-04
3.6875327,5.4022e-02
3.7433119,8.9188e-04
3.7458260,6.2213e-04
3.7480907,6.6827e-04
3.7502084,5.6247e-03
3.7575076,1.8125e-02
3.7773678,1.2678e-02
3.7922320,6.1147e-04
3.7947557,5.6286e-04
3.7968044,3.2477e-02
3.8308773,1.1178e-02
3.8437209,9.2033e-03
3.8546743,6.7937e-03
3.8642094,8.6850e-04
3.8665831,1.1563e-02
3.8803139,1.1639e-02
3.8934422,7.1015e-04
3.8956943,3.0253e-02
3.9273629,2.0025e-02
3.9490089,6.7499e-04
3.9562616,6.7495e-04
3.9584947,3.1733e-02
3.9917541,2.7154e-02
4.0204473,8.3087e-03
4.0302305,6.6533e-04
4.0334148,1.8545e-02
4.0542312,9.5149e-03
4.0662007,6.5232e-03
4.0742679,7.6255e-04
4.0768051,1.3121e-01
4.2094121,6.0327e-03
4.2173476,8.5096e-04
4.2236633,7.9591e-04
4.2263451,2.6204e-02
4.2539859,6.7557e-04
4.2562127,6.7332e-04
4.2582841,2.3991e-02
4.2845278,8.6029e-04
4.2869835,1.1088e-02
4.2997227,8.8046e-03
4.3099365,1.4007e-02
4.3252888,4.1658e-02
4.3683558,1.0622e-02
4.3803363,1.0930e-02
4.3926096,3.0391e-02
4.4245462,1.2130e-02
4.4380927,8.4058e-03
4.4480505,9.0671e-03
4.4586186,6.7658e-04
4.4606271,6.8734e-04
4.4630804,8.0904e-03
4.4726329,4.3849e-02
4.5212808,1.5602e-02
4.5393367,1.2320e-03
4.5420651,5.1514e-04
4.5441551,3.1939e-02
4.5777411,6.5894e-04
4.5802379,2.0843e-02
4.6042485,1.1315e-02
4.6174154,5.4851e-03
4.6247668,6.4488e-04
4.6270285,8.9269e-04
4.6295452,6.9814e-04
4.6321387,6.8336e-04
4.6386719,3.6177e-02
4.6762714,2.6809e-02
4.7046213,7.5911e-03
4.7139711,6.7974e-04
4.7163992,8.5907e-04
4.7188702,6.7119e-04
4.7213645,9.0140e-04
4.7238312,8.1357e-04
4.7262931,5.0101e-04
4.7282705,6.0851e-04
4.7305121,6.4562e-04
4.7326970,6.9427e-04
4.7349391,1.7134e-02
4.7539134,6.4165e-02
4.8197021,2.3952e-03
4.8237753,6.1293e-04
4.8260674,5.6322e-04
4.8281779,6.2752e-04
4.8303370,7.1041e-04
4.8324084,3.4627e-02
4.8689690,2.6850e-02
4.9139481,1.0517e-03
4.9167714,7.4581e-04
4.9192972,6.8572e-04
4.9215684,6.3434e-04
4.9238420,3.3897e-02
4.9594092,5.1428e-02
5.0179601,1.7066e-02
5.0367866,6.1602e-04
5.0389113,6.3876e-04
5.0412202,6.1752e-04
5.0433669,4.8701e-02
5.0939317,2.9549e-02
5.1249313,8.7389e-04
5.1272764,8.3493e-04
5.1298814,7.0228e-04
