time,runtime
0.0000851,2.3355e-04
0.0003200,1.4028e-04
0.0004613,1.4699e-04
0.0006091,1.2715e-04
0.0007370,1.5688e-04
0.0008947,1.2602e-04
0.0010216,1.2515e-04
0.0011475,1.5218e-04
0.0013011,1.2475e-04
0.0014271,1.4986e-04
0.0015797,1.5341e-04
0.0017359,8.3982e-04
0.0025785,2.0871e-04
0.0027900,2.1165e-04
0.0030047,1.7042e-04
0.0031763,1.4812e-04
0.0033256,1.7576e-04
0.0035025,1.4888e-04
0.0036526,1.6868e-04
0.0038224,1.7247e-04
0.0039961,1.7649e-04
0.0041738,1.4995e-04
0.0043249,1.4548e-04
0.0044715,1.4601e-04
0.0046187,1.7331e-04
0.0047932,2.0376e-04
0.0049987,1.5115e-04
0.0051511,1.7379e-04
0.0053260,4.9294e-03
0.0102578,1.8833e-04
0.0104479,1.4600e-04
0.0106075,1.3128e-04
0.0107400,1.6858e-04
0.0109099,1.6068e-04
0.0110718,1.2895e-04
0.0112020,1.2762e-04
0.0113308,1.4714e-04
0.0114791,1.3085e-04
0.0116112,1.2751e-04
0.0117398,1.5937e-04
0.0119004,1.5731e-04
0.0120590,1.6741e-04
0.0122276,2.2854e-03
0.0145146,1.3186e-04
0.0146477,1.2846e-04
0.0147773,1.3654e-04
0.0149151,1.2715e-04
0.0150436,1.2326e-04
0.0151680,5.1950e-04
0.0156886,1.4280e-04
0.0158330,1.3606e-04
0.0159702,1.5632e-04
0.0161277,1.2412e-04
0.0162530,1.4586e-04
0.0164001,1.2461e-04
0.0165258,1.2418e-04
0.0166512,1.5769e-04
0.0168101,1.5297e-04
0.0169658,4.1459e-03
0.0211172,1.6689e-04
0.0212857,1.3166e-04
0.0214188,1.2824e-04
0.0215482,1.4466e-04
0.0216942,1.2569e-04
0.0218211,1.5457e-04
0.0219769,1.2570e-04
0.0221038,1.2547e-04
0.0222305,1.4893e-04
0.0223807,5.0515e-04
0.0228892,1.5925e-04
0.0230514,1.8414e-03
0.0248944,1.3298e-04
0.0250289,1.2609e-04
0.0251562,1.4824e-04
0.0253056,1.7941e-04
0.0254877,1.5838e-04
0.0256488,1.6111e-04
0.0258127,1.9224e-04
0.0260062,1.2291e-04
0.0261302,1.2246e-04
0.0262540,1.2347e-04
0.0263786,1.2421e-04
0.0265041,1.2707e-04
0.0266323,1.4532e-04
0.0267789,1.3358e-04
0.0269136,1.4360e-04
0.0270602,2.0005e-03
0.0290642,1.5384e-04
0.0292194,6.0481e-04
0.0298274,1.5239e-04
0.0299813,1.3184e-04
0.0301143,1.2350e-04
0.0302391,1.3617e-04
0.0303888,1.2418e-04
0.0305142,1.4338e-04
0.0306588,1.2696e-04
0.0307869,1.6992e-04
0.0309580,1.2629e-04
0.0310855,1.2572e-04
0.0312124,1.2377e-04
0.0313375,1.7281e-04
0.0315115,1.2563e-04
0.0316384,1.9713e-03
0.0336112,1.4568e-04
0.0337703,1.3549e-04
0.0339072,1.2587e-04
0.0340342,1.3612e-04
0.0341715,1.4659e-04
0.0343194,5.0359e-04
0.0348261,1.7319e-04
0.0350008,1.4640e-04
0.0351484,1.2629e-04
0.0352759,1.2511e-04
0.0354021,1.4601e-04
0.0355493,1.2744e-04
0.0356779,1.5005e-04
0.0358292,1.2545e-04
0.0359559,1.5389e-04
0.0361110,1.8627e-03
0.0379753,1.3250e-04
0.0381092,1.4824e-04
0.0382586,1.3087e-04
0.0383908,1.2438e-04
0.0385163,1.4903e-04
0.0386667,1.8525e-04
0.0388651,1.3657e-04
0.0390030,1.6333e-04
0.0391674,1.2040e-04
0.0392890,4.9893e-04
0.0397907,1.7967e-04
0.0399735,1.6592e-04
0.0401406,1.3298e-04
0.0402764,1.3266e-04
0.0404102,1.2071e-04
0.0405322,1.2340e-04
0.0406567,1.1987e-04
0.0407778,1.3660e-04
0.0409157,1.2029e-04
0.0410373,1.1965e-04
0.0411581,1.1965e-04
0.0412789,1.5365e-04
0.0414353,1.5288e-04
0.0415909,1.6007e-04
0.0417536,1.8668e-04
0.0419431,1.4996e-04
0.0420957,1.5342e-04
0.0422519,1.4992e-04
0.0424030,1.2016e-04
0.0425244,5.2293e-04
0.0430505,1.5201e-04
0.0432054,1.5265e-04
0.0433592,1.2055e-04
0.0434809,1.6091e-04
0.0436430,1.2065e-04
0.0437649,1.2586e-04
0.0438919,1.4205e-04
0.0440352,1.1896e-04
0.0441553,1.4641e-04
0.0443030,1.1961e-04
0.0444238,4.8868e-04
0.0449157,1.7516e-04
0.0450938,1.5862e-04
0.0452537,1.2435e-04
0.0453792,1.4249e-04
0.0455229,1.2144e-04
0.0456455,1.5333e-04
0.0458000,1.3734e-04
0.0459400,1.5766e-04
0.0460989,4.7210e-04
0.0465737,1.7435e-04
0.0467493,2.1852e-04
0.0469690,1.7448e-04
0.0471448,1.5658e-04
0.0473025,1.1872e-04
0.0474225,1.4869e-04
0.0475724,1.2314e-04
0.0476969,1.6075e-04
0.0478588,1.4225e-04
0.0480023,1.9214e-04
0.0481958,1.2185e-04
0.0483188,1.4571e-04
0.0484657,1.2436e-04
0.0485913,1.3436e-04
0.0487268,1.4380e-04
0.0488720,1.2533e-04
0.0489986,1.3231e-04
0.0491321,1.3809e-04
0.0492714,1.6990e-04
0.0494426,5.1317e-04
0.0499572,1.3249e-04
0.0500911,1.3445e-04
0.0502267,1.4967e-04
0.0503776,1.3121e-04
0.0505099,1.4384e-04
0.0506550,3.7606e-04
0.0510326,2.9341e-04
0.0513273,3.0796e-04
0.0516368,2.7537e-04
0.0519138,3.4636e-04
0.0522643,3.4597e-04
