time,runtime
0.2157325,1.0171e-05
0.2162487,5.0850e-06
0.2167630,4.1980e-06
0.2172366,4.8210e-06
0.2177085,4.2740e-06
0.2181324,4.4370e-06
0.2185632,4.2530e-06
0.2190945,8.9970e-06
0.2194740,8.4100e-06
0.2197537,8.3160e-06
0.2202148,4.5580e-06
0.2204885,4.4730e-06
0.2207873,4.3580e-06
0.2210964,5.1410e-06
0.2213739,4.0720e-06
0.2216704,3.9390e-06
0.2219829,5.1940e-06
0.2222206,4.3790e-06
0.2224576,3.9240e-06
0.2226694,3.8770e-06
0.2228837,4.0040e-06
0.2231481,4.6450e-06
0.2236057,8.3490e-06
0.2239038,8.2080e-06
0.2241931,4.4430e-06
0.2244474,3.9020e-06
0.2247132,4.0160e-06
0.2249498,3.9540e-06
0.2251967,4.2380e-06
0.2254209,3.9830e-06
0.2256346,3.8450e-06
0.2258615,3.9070e-06
0.2262086,4.4670e-06
0.2265622,3.9480e-06
0.2268695,4.6930e-06
0.2272023,4.8840e-06
0.2275192,4.3440e-06
0.2278660,8.8740e-06
0.2282580,4.6110e-06
0.2285757,4.3370e-06
0.2289210,8.9710e-06
0.2292928,4.5980e-06
0.2296139,4.3640e-06
0.2298962,4.1900e-06
0.2302403,4.4730e-06
0.2305225,4.4330e-06
0.2308389,4.3040e-06
0.2311923,4.5380e-06
0.2315096,4.2820e-06
0.2317653,4.2590e-06
0.2321357,4.8530e-06
0.2324347,4.5820e-06
0.2327343,8.8770e-06
0.2331718,5.0740e-06
0.2335216,4.2370e-06
0.2338474,4.4500e-06
0.2341452,4.5730e-06
0.2344672,4.3940e-06
0.2347514,4.4040e-06
0.2350607,5.0620e-06
0.2354314,4.2300e-06
0.2357621,4.3630e-06
0.2361567,4.9090e-06
0.2365243,8.8000e-06
0.2368888,4.2320e-06
0.2372316,4.6860e-06
0.2375772,4.3390e-06
0.2378333,4.3640e-06
0.2381738,4.8500e-06
0.2385295,4.5430e-06
0.2388268,8.6060e-06
0.2392206,9.0170e-06
0.2395694,4.1430e-06
0.2398487,4.4990e-06
0.2401411,4.6410e-06
0.2404706,4.2580e-06
0.2408311,4.0030e-06
0.2410999,4.6330e-06
0.2413673,4.2560e-06
0.2416176,4.2650e-06
0.2418817,4.2060e-06
0.2421374,4.8260e-06
0.2424855,4.3570e-06
0.2428362,8.6900e-06
0.2432243,8.7100e-06
0.2435523,4.1130e-06
0.2438291,4.0330e-06
0.2441819,4.5010e-06
0.2445476,4.0900e-06
0.2448249,4.1820e-06
0.2451304,4.7360e-06
0.2453968,4.1450e-06
0.2457086,8.8100e-06
0.2460867,4.7020e-06
0.2463889,4.0170e-06
0.2466712,4.1490e-06
0.2469953,4.9340e-06
0.2473751,4.2260e-06
0.2476375,4.2210e-06
0.2479074,3.9840e-06
