time,runtime
0.0000143,1.6549e-04
0.0003127,1.5353e-04
0.0005843,1.5701e-04
0.0008261,1.3666e-04
0.0011291,1.4060e-04
0.0014054,1.8751e-04
0.0017319,2.0953e-04
0.0020723,1.5466e-04
0.0023912,2.4991e-04
0.0028422,1.9942e-04
0.0031628,1.4907e-04
0.0034407,2.0660e-04
0.0037869,1.9203e-04
0.0041202,1.4966e-04
0.0043969,1.6430e-04
0.0046829,1.5034e-04
0.0049466,1.8658e-04
0.0052731,1.6498e-04
0.0055577,1.5918e-04
0.0058298,2.1476e-04
0.0062162,1.9229e-04
0.0065306,1.3713e-04
0.0067811,1.5940e-04
0.0070757,1.6797e-04
0.0073805,2.0115e-04
0.0076925,1.8864e-04
0.0080660,1.5277e-04
0.0083537,1.6357e-04
0.0086648,1.8682e-04
0.0089989,2.1566e-04
0.0093441,1.3771e-04
0.0095949,1.5837e-04
0.0098934,1.6023e-04
0.0101760,1.6854e-04
0.0105035,1.3714e-04
0.0107534,1.6357e-04
0.0110726,1.9108e-04
0.0114023,1.8247e-04
0.0116967,1.5780e-04
0.0120067,1.5049e-04
0.0122798,1.5130e-04
0.0125433,1.3685e-04
0.0127922,1.3732e-04
0.0130670,1.4231e-04
0.0133570,1.6711e-04
0.0136373,1.8424e-04
0.0139478,1.5772e-04
0.0142336,1.6148e-04
0.0145254,1.3348e-04
0.0147520,1.3990e-04
0.0149687,1.6330e-04
0.0152430,1.3994e-04
0.0154869,1.4923e-04
0.0157340,1.2278e-04
0.0159580,1.3352e-04
0.0161718,1.2639e-04
0.0163828,1.2283e-04
0.0165825,1.4432e-04
0.0168032,1.4599e-04
0.0170323,1.3864e-04
0.0172521,1.6646e-04
0.0175156,1.2488e-04
0.0177317,1.4944e-04
0.0179572,1.2524e-04
0.0181616,1.4864e-04
0.0184225,1.2224e-04
0.0186211,1.2318e-04
0.0188199,1.4694e-04
0.0190627,1.3710e-04
0.0192785,1.3580e-04
0.0194913,1.3310e-04
0.0197042,1.4507e-04
0.0199395,1.6588e-04
0.0201863,1.8601e-04
0.0204664,1.5321e-04
0.0207247,1.2476e-04
0.0209280,1.4096e-04
0.0211650,1.2544e-04
0.0213684,1.5534e-04
0.0216015,2.1187e-04
0.0219166,2.3148e-04
0.0222324,1.6280e-04
0.0224743,1.2471e-04
0.0226784,1.2489e-04
0.0228815,1.2629e-04
0.0230920,1.3672e-04
0.0233093,1.3613e-04
0.0235237,1.2270e-04
0.0237521,1.2533e-04
0.0239563,1.6260e-04
0.0241997,1.5167e-04
0.0244670,1.5230e-04
0.0247565,1.4264e-04
0.0250517,1.4622e-04
0.0254162,1.6272e-04
0.0257178,1.6478e-04
0.0260868,1.7543e-04
0.0264405,1.3303e-04
0.0266853,1.4630e-04
0.0270495,2.2341e-04
