time,runtime
0.0001740,9.7430e-05
0.0004558,1.1831e-04
0.0008549,1.5147e-04
0.0012203,1.0774e-04
0.0015032,1.4422e-04
0.0018905,1.2281e-04
0.0021974,8.1164e-05
0.0024388,9.9799e-05
0.0027237,8.2517e-05
0.0029697,9.1824e-05
0.0032223,9.9974e-05
0.0034834,1.0720e-04
0.0038431,1.0766e-04
0.0041387,8.2667e-05
0.0044031,9.6637e-05
0.0046721,5.6742e-05
0.0049023,5.4519e-05
0.0051132,5.2592e-05
0.0053374,5.2244e-05
0.0055350,5.2741e-05
0.0057644,5.2947e-05
0.0060210,6.2758e-05
0.0063054,6.3005e-05
0.0065264,5.1341e-05
0.0067792,5.6161e-05
0.0070670,5.2727e-05
0.0072651,5.2528e-05
0.0074637,7.9256e-05
0.0077415,5.4475e-05
0.0079460,5.2450e-05
0.0081448,5.2004e-05
0.0083910,5.2292e-05
0.0085898,7.5940e-05
0.0088172,5.4168e-05
0.0090309,5.2351e-05
0.0092286,6.5726e-05
0.0095235,9.2180e-05
0.0098576,9.2619e-05
0.0101059,6.3847e-05
0.0103182,5.4149e-05
0.0105393,8.0508e-05
0.0107776,5.4295e-05
0.0109925,6.0071e-05
0.0111980,7.5665e-05
0.0114419,5.2367e-05
0.0116601,5.3840e-05
0.0118873,5.3838e-05
0.0120975,5.2300e-05
0.0123106,5.1692e-05
0.0125058,5.2090e-05
0.0127172,5.4102e-05
0.0129717,6.4111e-05
0.0132331,6.4980e-05
0.0134891,5.1702e-05
0.0137329,5.3868e-05
0.0139561,5.2750e-05
0.0141586,5.1551e-05
0.0143650,7.8864e-05
0.0146627,7.8936e-05
0.0149516,5.2507e-05
0.0151584,5.8293e-05
0.0153597,7.2870e-05
0.0156731,9.0759e-05
0.0159560,5.2170e-05
0.0161553,5.0526e-05
0.0163439,5.0776e-05
0.0165340,5.0582e-05
0.0167546,5.3128e-05
0.0169721,5.1997e-05
0.0171735,6.5362e-05
0.0173811,5.0595e-05
0.0175729,8.9488e-05
0.0178204,5.2875e-05
0.0180365,5.1679e-05
0.0182388,6.5705e-05
0.0184462,5.1131e-05
0.0186954,7.9131e-05
0.0189301,5.3799e-05
0.0191463,5.1922e-05
0.0193404,5.0715e-05
0.0195575,8.5894e-05
0.0197944,5.3051e-05
0.0200085,5.0835e-05
0.0202318,5.1481e-05
0.0204428,5.3314e-05
0.0206630,5.3499e-05
0.0208670,7.8382e-05
0.0211615,7.8784e-05
0.0214684,6.3683e-05
0.0217779,7.4991e-05
0.0220038,5.1724e-05
0.0221981,5.0783e-05
0.0223915,5.1152e-05
0.0226302,5.2917e-05
0.0228571,5.2846e-05
0.0230897,5.1492e-05
0.0232825,5.1148e-05
0.0234774,8.5145e-05
0.0237371,7.7031e-05
0.0239764,7.8400e-05
