time,runtime
0.0001603,1.1887e-05
0.0004427,1.1327e-05
0.0008203,3.0554e-05
0.0012073,1.1342e-05
0.0014904,1.1050e-05
0.0018642,2.2251e-05
0.0021845,1.1174e-05
0.0024259,1.1275e-05
0.0027104,1.1575e-05
0.0029569,1.1129e-05
0.0032094,1.1085e-05
0.0034703,1.1276e-05
0.0038296,1.1689e-05
0.0041260,1.1036e-05
0.0043903,1.1058e-05
0.0046573,1.1814e-05
0.0048900,1.0575e-05
0.0051007,1.0722e-05
0.0053252,1.0558e-05
0.0055228,1.0406e-05
0.0057515,1.1016e-05
0.0059971,2.0016e-05
0.0062815,2.0070e-05
0.0065143,1.0390e-05
0.0067659,1.1462e-05
0.0070549,1.0384e-05
0.0072529,1.0518e-05
0.0074514,1.0564e-05
0.0077292,1.0476e-05
0.0079329,1.1448e-05
0.0081324,1.0714e-05
0.0083786,1.0774e-05
0.0085776,1.0566e-05
0.0088051,1.0498e-05
0.0090187,1.0558e-05
0.0092164,1.0493e-05
0.0094995,2.0293e-05
0.0098449,1.0821e-05
0.0100937,1.0500e-05
0.0103056,1.0962e-05
0.0105269,1.0684e-05
0.0107644,1.1352e-05
0.0109803,1.0449e-05
0.0111859,1.0467e-05
0.0114298,1.0314e-05
0.0116466,1.0706e-05
0.0118753,1.0338e-05
0.0120855,1.0313e-05
0.0122828,2.6196e-05
0.0124937,1.0411e-05
0.0127054,1.0150e-05
0.0129479,2.0103e-05
0.0132093,2.0033e-05
0.0134773,1.0159e-05
0.0137202,1.0947e-05
0.0139437,1.0740e-05
0.0141461,1.0870e-05
0.0143407,2.2607e-05
0.0146488,1.1038e-05
0.0149393,1.0463e-05
0.0151462,1.0541e-05
0.0153480,1.0149e-05
0.0156468,2.1072e-05
0.0159443,1.0133e-05
0.0161436,1.0047e-05
0.0163321,1.0079e-05
0.0165223,1.0121e-05
0.0167421,1.0794e-05
0.0169602,1.0178e-05
0.0171549,1.6838e-05
0.0173692,1.0216e-05
0.0175608,1.0261e-05
0.0178082,1.0487e-05
0.0180246,1.0264e-05
0.0182188,1.8388e-05
0.0184342,1.0340e-05
0.0186829,1.0868e-05
0.0189181,1.0345e-05
0.0191342,1.0402e-05
0.0193282,1.0469e-05
0.0195458,1.0025e-05
0.0197821,1.0618e-05
0.0199963,1.0485e-05
0.0202201,1.0176e-05
0.0204305,1.0624e-05
0.0206496,1.0481e-05
0.0208511,1.4244e-05
0.0211492,1.0607e-05
0.0214448,1.9889e-05
0.0217537,2.0481e-05
0.0219916,1.0476e-05
0.0221859,1.0549e-05
0.0223789,1.0866e-05
0.0226144,1.4065e-05
0.0228450,1.0390e-05
0.0230779,1.0198e-05
0.0232707,1.0191e-05
0.0234635,1.2168e-05
0.0237246,1.0690e-05
0.0239641,1.0572e-05
