time,runtime
0.0000022,8.9894e-05
0.0000932,7.2431e-05
0.0001667,8.0624e-05
0.0002483,4.7648e-05
0.0002969,4.7805e-05
0.0003456,4.7544e-05
0.0003941,4.7439e-05
0.0004424,7.4739e-05
0.0005181,4.7882e-05
0.0005669,4.9860e-05
0.0006179,5.6178e-05
0.0006751,1.1137e-04
0.0007886,9.6908e-05
0.0008871,1.0151e-04
0.0009905,6.9618e-05
0.0010617,5.9057e-05
0.0011222,5.9010e-05
0.0011827,6.6894e-05
0.0012512,5.7846e-05
0.0013105,5.8015e-05
0.0013700,5.8367e-05
0.0014299,5.8662e-05
0.0014901,5.8673e-05
0.0015503,5.7694e-05
0.0016095,6.3348e-05
0.0016745,5.8729e-05
0.0017347,5.8190e-05
0.0017944,5.9233e-05
0.0018551,5.7628e-05
0.0019143,5.8640e-05
0.0019744,5.7020e-05
0.0020329,5.8307e-05
0.0020928,5.7141e-05
0.0021514,5.7567e-05
0.0022105,5.8147e-05
0.0022702,5.7617e-05
0.0023293,5.8861e-05
0.0023896,5.7335e-05
0.0024484,5.7290e-05
0.0025072,5.7214e-05
0.0025660,5.6924e-05
0.0026244,7.6827e-05
0.0027029,5.9696e-05
0.0027642,5.8741e-05
0.0028244,5.8558e-05
0.0028845,7.1459e-05
0.0029574,5.7361e-05
0.0030162,5.7672e-05
0.0030754,5.7574e-05
0.0031345,6.3242e-05
0.0031994,7.7662e-05
0.0032786,6.0786e-05
0.0033410,5.8973e-05
0.0034015,6.9851e-05
0.0034729,4.0693e-05
0.0035145,3.7620e-05
0.0035530,3.6884e-05
0.0035907,3.7249e-05
0.0036287,4.2295e-05
0.0036722,4.6470e-05
0.0037195,3.7808e-05
0.0037582,3.7320e-05
0.0037963,3.7455e-05
0.0038345,3.7545e-05
0.0038729,3.7568e-05
0.0039113,3.7594e-05
0.0039497,3.7793e-05
0.0039883,3.7450e-05
0.0040266,3.7124e-05
0.0040645,3.7402e-05
0.0041028,3.7361e-05
0.0041409,3.7654e-05
0.0041794,3.7351e-05
0.0042176,3.6972e-05
0.0042554,3.8129e-05
0.0042943,3.7608e-05
0.0043328,3.7295e-05
0.0043709,3.7892e-05
0.0044096,3.7700e-05
0.0044481,3.7160e-05
0.0044861,3.8294e-05
0.0045252,3.6952e-05
0.0045630,3.7657e-05
0.0046015,4.0210e-05
0.0046425,3.7843e-05
0.0046812,3.7996e-05
0.0047200,3.8215e-05
0.0047590,3.7168e-05
0.0047970,3.6939e-05
0.0048347,3.7377e-05
0.0048729,6.4170e-05
0.0049387,5.9623e-05
0.0049999,5.7561e-05
0.0050590,5.7920e-05
0.0051184,5.8959e-05
0.0051789,4.2078e-05
0.0052218,3.9336e-05
0.0052620,3.7448e-05
0.0053003,3.7713e-05
0.0053388,4.3983e-05
0.0053836,3.6797e-05
0.0054212,3.7358e-05
0.0054594,3.7773e-05
0.0054980,3.7282e-05
0.0055361,4.3635e-05
0.0055806,3.7024e-05
0.0056184,4.0714e-05
0.0056601,3.8270e-05
0.0056991,3.7618e-05
0.0057376,3.6795e-05
0.0057752,3.6814e-05
0.0058128,3.7334e-05
0.0058510,3.7324e-05
0.0058891,3.7106e-05
0.0059271,3.6768e-05
0.0059646,3.7088e-05
0.0060026,3.6895e-05
0.0060403,3.6967e-05
0.0060782,3.7552e-05
0.0061165,3.7033e-05
0.0061544,3.7445e-05
0.0061927,3.7655e-05
0.0062311,3.7344e-05
0.0062693,3.7816e-05
0.0063079,3.7459e-05
0.0063462,3.7275e-05
0.0063843,3.7687e-05
0.0064228,3.7127e-05
0.0064608,3.7125e-05
0.0064987,3.6978e-05
0.0065365,3.6831e-05
0.0065742,6.2179e-05
0.0066471,5.9821e-05
0.0067085,5.7854e-05
0.0067679,5.8477e-05
0.0068281,8.1705e-05
0.0069114,4.1034e-05
0.0069533,4.3275e-05
0.0069973,3.7129e-05
0.0070353,3.6950e-05
0.0070803,3.7308e-05
0.0071184,3.7440e-05
0.0071567,3.7009e-05
0.0071945,3.7272e-05
0.0072326,3.7431e-05
0.0072708,3.7277e-05
0.0073089,3.7118e-05
0.0073469,3.7168e-05
0.0073848,3.7471e-05
0.0074231,3.7579e-05
0.0074615,3.6749e-05
0.0074991,3.7269e-05
0.0075372,3.7216e-05
0.0075752,3.7291e-05
0.0076133,4.1111e-05
0.0076553,3.7785e-05
0.0076939,3.7052e-05
0.0077317,3.7172e-05
0.0077697,3.7061e-05
0.0078076,3.7288e-05
0.0078457,3.6598e-05
0.0078831,3.7348e-05
0.0079213,3.6563e-05
0.0079586,3.7888e-05
0.0079974,3.7723e-05
0.0080359,3.7763e-05
0.0080745,3.7456e-05
0.0081128,3.6789e-05
0.0081504,3.6716e-05
0.0081879,3.6944e-05
0.0082257,3.7286e-05
0.0082637,3.6808e-05
0.0083014,6.1942e-05
0.0083649,5.8283e-05
0.0084247,5.7012e-05
0.0084833,5.7002e-05
0.0085418,5.7166e-05
0.0086005,7.6872e-05
0.0086791,4.1181e-05
0.0087212,6.2375e-05
0.0087844,3.7535e-05
0.0088228,3.7476e-05
0.0088611,3.7222e-05
0.0088992,8.9901e-05
0.0089910,3.9932e-05
0.0090318,5.9845e-05
0.0090925,8.0501e-05
0.0091747,6.1854e-05
0.0092382,4.8268e-05
0.0092873,3.8005e-05
0.0093262,3.7361e-05
0.0093644,3.7698e-05
0.0094029,3.6975e-05
0.0094407,3.7242e-05
0.0094788,3.7541e-05
0.0095172,3.7447e-05
0.0095555,3.7356e-05
0.0095937,3.7198e-05
0.0096317,4.3244e-05
0.0096758,3.8510e-05
