time,runtime
0.0008130,2.0918e-03
0.1712309,7.4839e-04
0.1733044,6.8886e-03
0.2342874,6.9759e-04
0.2694905,5.8881e-04
0.3221937,7.5134e-04
0.3609512,7.1983e-04
0.3631305,6.9200e-04
0.3648455,6.6036e-04
0.4183667,7.2146e-04
0.4351047,6.3558e-04
0.4626995,5.9573e-04
0.4671655,6.5807e-04
0.4900665,6.0373e-04
0.4937882,6.0888e-04
0.5003640,6.1913e-04
0.5021499,7.4113e-04
0.5040487,6.0486e-04
0.5234535,8.2623e-04
0.5390125,9.0706e-04
0.5411523,1.4057e-03
0.5758014,6.5288e-04
0.5885192,8.0546e-04
0.5949342,7.2033e-04
0.6075727,1.2907e-03
0.6216725,5.8619e-04
0.6433427,5.8716e-04
0.6677004,9.1846e-04
0.7023074,5.8899e-04
0.7282949,6.7697e-04
0.7628204,6.3671e-04
0.7812764,8.8067e-04
0.8250120,7.1761e-04
0.8352016,1.0780e-03
0.8375207,6.4574e-04
0.8499022,8.5652e-04
0.8998373,6.0727e-04
0.9268945,6.8744e-04
0.9288845,7.7711e-04
0.9355659,6.6758e-04
0.9476554,7.8565e-04
0.9612620,6.5479e-04
0.9916377,7.4190e-04
1.0010242,7.3551e-04
1.0076414,6.3314e-04
1.0928077,7.1412e-04
1.1289313,6.8208e-04
1.1516612,9.2000e-04
1.1538812,2.8456e-03
1.1744152,6.8360e-04
1.1765028,6.2338e-04
1.1866862,5.7418e-04
1.2013208,5.9163e-04
1.2180334,7.2452e-04
1.2227521,6.5915e-04
1.2247002,8.2296e-04
1.2270328,6.7240e-04
1.2639467,7.7833e-04
1.2659745,1.2892e-03
1.2686694,1.4473e-03
1.2714756,7.1967e-04
1.2947011,6.6715e-04
1.2964586,7.2335e-04
1.3361771,8.0762e-04
1.3383278,6.4512e-04
1.3438638,6.6634e-04
1.3528374,7.5038e-04
1.3659639,1.8145e-03
1.3793584,8.6168e-04
1.3955054,6.9877e-04
1.4124401,7.2451e-04
1.4646196,5.8556e-04
1.4822050,6.5378e-04
1.4929814,5.1324e-03
1.5113535,8.4100e-04
1.5287875,8.9257e-04
1.5441288,7.6340e-04
1.5630261,7.0080e-04
1.6105759,7.4011e-04
1.6199600,6.4695e-04
1.6448344,8.4420e-04
1.6554291,7.5441e-04
1.6575539,7.7570e-04
1.6990337,6.7579e-04
1.7008802,6.2564e-04
1.7181002,7.6651e-04
1.7673140,6.4341e-04
1.7928215,6.0985e-04
1.8121076,6.7345e-04
1.8408822,7.9019e-04
1.8525535,8.4212e-04
1.8547837,9.0035e-04
1.8570997,6.8673e-04
1.8590496,8.4616e-04
1.8611701,8.5153e-04
1.8632838,6.6933e-04
1.8651868,7.3981e-04
1.8794011,7.2080e-04
1.8907472,6.5966e-04
1.8925184,7.1859e-04
1.9114591,6.7713e-04
1.9133295,6.3965e-04
1.9250931,7.2672e-04
1.9271528,6.8893e-04
1.9295160,7.4965e-04
1.9516673,7.3941e-04
1.9536625,5.8097e-04
1.9735761,5.6946e-04
1.9917283,6.5267e-04
2.0109620,1.9647e-03
2.0315034,9.3856e-04
2.0494180,8.9822e-04
2.0769701,1.2461e-03
2.0796082,1.8055e-03
2.1130297,9.4034e-04
2.1153536,6.4960e-04
2.1314735,7.0899e-04
2.1443682,6.3755e-04
2.1548090,9.5354e-04
2.1666470,9.3307e-04
2.1854320,6.5429e-04
2.1941128,7.3985e-04
2.1964505,1.0982e-03
