time,runtime
0.0000031,5.1284e-03
0.0051340,1.2805e-03
0.0064170,1.1870e-02
0.0182895,1.9876e-03
0.0202794,8.1332e-04
0.0210944,3.7288e-03
0.0248255,2.4734e-03
0.0273012,2.8334e-03
0.0301369,1.4517e-03
0.0315908,1.5663e-03
0.0331593,2.2437e-03
0.0354072,1.2937e-03
0.0367031,1.3578e-03
0.0380631,1.1078e-03
0.0391730,1.0686e-03
0.0402455,2.7306e-03
0.0429783,1.5019e-03
0.0444823,1.1746e-03
0.0456588,2.4512e-03
0.0481120,2.7840e-03
0.0508981,1.5495e-03
0.0524496,8.9458e-04
0.0533462,4.8041e-03
0.0581638,1.4388e-03
0.0596066,5.1960e-03
0.0648065,1.0396e-03
0.0658474,8.2220e-04
0.0666708,9.7917e-04
0.0676511,1.1603e-03
0.0688137,4.7562e-03
0.0735734,3.0267e-03
0.0766023,6.1795e-03
0.0827840,4.8451e-03
0.0876314,1.7440e-03
0.0893798,1.6421e-03
0.0910240,1.5273e-03
0.0925537,1.8385e-03
0.0943943,3.4246e-03
0.0978233,2.7150e-03
0.1005420,3.5857e-03
0.1041301,1.1949e-03
0.1053272,7.2038e-04
0.1060495,1.0246e-03
0.1070762,1.0750e-03
0.1081644,7.9321e-03
0.1160988,1.0995e-03
0.1172025,4.4516e-03
0.1216584,1.9492e-03
0.1236096,1.2935e-03
0.1249073,2.2436e-03
0.1271530,1.6322e-03
0.1287893,1.2578e-03
0.1300489,3.8852e-03
0.1339362,8.5953e-03
0.1425336,1.3697e-03
0.1439055,8.6855e-04
0.1447762,7.9553e-04
0.1455743,6.2100e-03
0.1517884,9.0176e-04
0.1526915,1.3025e-03
0.1539960,7.3194e-04
0.1547298,4.0971e-03
0.1588289,1.4010e-03
0.1602320,2.0393e-03
0.1622733,1.6768e-03
0.1639519,3.6724e-03
0.1676262,3.4617e-03
0.1710901,1.0674e-03
0.1721597,3.0937e-03
0.1752576,1.4980e-03
0.1767576,1.4184e-03
0.1781781,5.5154e-03
0.1836957,1.7527e-03
0.1854528,1.1072e-03
0.1865620,1.8840e-03
0.1884482,2.7668e-03
0.1912171,1.6475e-03
0.1928686,2.6757e-03
0.1955486,3.4121e-03
0.1989648,1.1816e-03
0.2001485,7.8355e-04
0.2009342,8.4262e-04
0.2017787,1.0783e-03
0.2028592,1.4297e-03
0.2042931,1.0684e-03
0.2053635,1.1235e-03
0.2064891,8.2497e-04
0.2073162,1.2867e-03
0.2086069,5.3920e-03
0.2140011,5.9755e-03
0.2199808,1.3354e-03
0.2213183,1.3577e-03
0.2226799,1.4642e-03
0.2241462,1.4463e-03
0.2255952,9.3976e-04
0.2265388,9.8495e-04
0.2275283,1.0701e-03
0.2286006,1.0168e-03
0.2296216,1.2783e-03
0.2309021,8.5013e-04
0.2317544,1.0768e-03
0.2328333,1.4653e-03
0.2343007,1.0990e-03
0.2354020,8.3575e-04
0.2362399,3.6860e-03
0.2399307,2.4483e-03
0.2423814,1.6298e-03
0.2440135,9.3030e-03
0.2533188,1.3388e-03
0.2546599,2.9202e-02
0.2838644,8.1140e-03
0.2919806,2.2735e-03
0.2942564,1.6128e-03
0.2958713,2.3082e-02
0.3189560,2.4055e-03
0.3213639,7.5747e-03
0.3289409,1.9649e-03
0.3309103,2.2075e-03
0.3331200,3.4288e-03
0.3365509,2.1403e-03
0.3386934,3.1124e-03
0.3418080,5.7939e-03
0.3476039,1.8689e-03
0.3494748,1.0090e-03
0.3504872,7.7589e-04
0.3512653,7.3148e-03
0.3585843,9.4393e-04
0.3595313,8.7962e-04
0.3604130,1.5622e-03
0.3619775,1.2780e-03
0.3632596,8.7328e-04
0.3641349,1.2726e-03
0.3654095,3.2073e-03
0.3686185,9.6371e-03
0.3782578,1.2138e-02
0.3903980,1.4359e-03
0.3918363,9.5345e-04
0.3927919,1.1723e-02
0.4045168,6.6946e-03
0.4112159,8.1137e-04
0.4120294,1.6066e-03
0.4136382,8.1700e-04
0.4144574,7.2474e-04
0.4151843,7.7412e-04
0.4159605,1.3724e-03
0.4173350,1.6796e-03
0.4190168,8.9588e-04
0.4199148,2.1678e-03
0.4220848,2.0298e-03
0.4241168,1.7300e-03
0.4258508,5.3853e-03
0.4312382,1.0369e-02
0.4416112,1.9167e-03
0.4435301,8.8195e-04
0.4444141,2.2552e-03
0.4466733,8.1066e-04
0.4474852,1.0978e-03
0.4485849,1.5550e-03
0.4501419,1.9488e-03
0.4520928,9.0137e-04
0.4529957,1.7930e-03
0.4547905,9.7004e-04
0.4557626,6.2385e-03
0.4620036,7.8690e-03
0.4698747,3.1263e-03
0.4730055,9.0560e-04
0.4739133,1.2236e-03
0.4751391,2.3383e-03
0.4774795,5.0113e-03
0.4824930,1.7198e-03
0.4842150,8.9357e-04
0.4851107,3.2046e-03
0.4883199,9.6102e-04
0.4892831,9.1114e-04
0.4901965,1.0175e-03
0.4912162,7.1009e-04
0.4919284,7.1929e-04
0.4926497,1.0767e-03
0.4937286,9.3737e-04
0.4946679,9.2753e-04
0.4955975,9.4623e-03
0.5050622,1.0316e-03
0.5060960,1.8305e-03
0.5079310,3.4685e-03
0.5114018,3.7071e-03
0.5151108,1.9728e-03
0.5170856,1.9772e-03
0.5190648,1.1855e-03
0.5202539,9.1248e-04
0.5211685,1.2853e-03
0.5224559,9.3771e-04
0.5233955,1.0347e-03
0.5244321,8.1603e-04
0.5252502,1.0995e-03
0.5263516,2.8686e-03
0.5292224,9.2468e-04
0.5301490,1.2197e-03
0.5313709,1.1103e-03
0.5324832,6.6318e-03
0.5391171,3.4387e-03
0.5425581,1.2334e-03
0.5437936,1.3813e-03
0.5451770,2.5959e-03
0.5477750,1.2813e-03
0.5490586,3.8878e-03
0.5529485,9.2948e-04
0.5538800,2.3518e-03
0.5562340,2.1678e-02
0.5779161,6.6974e-03
0.5846177,2.5284e-03
0.5871483,6.1366e-03
0.5932871,8.4274e-03
0.6017166,1.6204e-03
0.6033393,1.1200e-03
0.6044615,1.3730e-03
0.6058365,1.0136e-03
0.6068522,1.1000e-03
