time,runtime
0.0082889,2.1418e-03
0.0104340,1.3730e-03
0.0118096,6.4172e-02
0.0759854,1.0057e-03
0.0769941,6.6572e-04
0.0776628,3.5484e-02
0.1131497,9.9822e-03
0.1231347,9.3333e-04
0.1240709,2.1231e-02
0.1453042,9.5348e-04
0.1462606,3.0250e-02
0.1765150,5.9609e-03
0.1824792,7.8106e-04
0.1832633,1.0601e-03
0.1843262,9.1757e-04
0.1852469,6.4720e-04
0.1858972,8.5555e-04
0.1867558,6.3111e-02
0.2498699,1.1302e-02
0.2611753,2.2085e-02
0.2832631,1.2828e-03
0.2845492,2.5484e-03
0.2871007,2.7700e-02
0.3148041,1.5109e-03
0.3163198,4.9927e-03
0.3213162,1.7395e-02
0.3387144,2.7354e-02
0.3660717,1.4380e-03
0.3675145,7.9703e-04
0.3683154,1.8140e-03
0.3701338,8.2317e-04
0.3709598,1.6562e-02
0.3875283,9.2415e-04
0.3884619,4.9628e-03
0.3934275,1.0682e-02
0.4041133,1.7787e-02
0.4219044,1.1261e-02
0.4331683,9.9796e-04
0.4341695,3.1498e-03
0.4373243,1.3972e-02
0.4513001,9.9611e-03
0.4612663,5.8756e-02
0.5200256,3.9755e-02
0.5597844,8.9207e-04
0.5606797,8.6193e-03
0.5693029,1.2697e-03
0.5705774,1.7768e-02
0.5883491,8.0677e-04
0.5891589,7.6736e-04
0.5899308,9.3691e-04
0.5908704,1.1517e-03
0.5920264,1.5303e-02
0.6073329,3.9535e-02
0.6468730,2.6537e-02
0.6734127,6.8782e-02
0.7421989,1.4164e-01
0.8838454,9.2531e-03
0.8931023,1.0895e-03
0.8941946,9.9286e-04
0.8951915,7.3341e-04
0.8959274,1.9842e-02
0.9157767,1.0619e-03
0.9168417,2.0120e-02
0.9369643,2.0940e-03
0.9390610,5.1124e-03
0.9441763,1.0607e-03
0.9452397,1.9237e-02
0.9644805,1.1505e-03
0.9656343,2.2045e-03
0.9678420,1.0182e-03
0.9688634,1.1007e-03
0.9699674,1.0391e-03
0.9710115,1.0925e-03
0.9721072,1.0240e-03
0.9731345,9.5039e-04
0.9740881,6.1082e-03
0.9801996,1.8233e-03
0.9820261,1.1921e-03
0.9832215,8.0321e-04
0.9840279,1.6789e-02
1.0008200,2.8134e-02
1.0289593,2.1598e-02
1.0505606,1.9820e-02
1.0703837,1.2361e-03
1.0716230,7.4113e-04
1.0723673,1.1249e-02
1.0836208,1.2944e-02
1.0965680,1.9123e-01
1.2878028,8.7518e-02
1.3753247,1.0418e-02
1.3857471,3.0328e-02
1.4160789,1.1598e-02
1.4276814,9.5900e-04
1.4286438,1.0119e-03
1.4296590,3.9094e-03
1.4335715,1.7713e-02
1.4512881,2.2133e-02
1.4734242,1.0684e-03
1.4744958,2.8342e-02
1.5028409,5.1966e-02
1.5548104,1.2077e-03
1.5560212,1.0732e-01
1.6633496,1.0526e-02
1.6738793,2.7327e-02
1.7012099,3.8817e-03
1.7050947,4.3586e-02
1.7486837,8.7124e-02
1.8358110,3.2286e-03
1.8390429,6.8896e-04
1.8397369,1.4746e-01
1.9872005,9.0919e-04
1.9881129,7.8888e-04
1.9889051,1.1464e-03
1.9900546,5.9407e-03
1.9960003,1.2036e-03
1.9972069,6.4074e-02
2.0612845,1.1918e-03
2.0624795,3.0647e-03
2.0655472,1.1755e-03
2.0667260,1.0516e-03
2.0677805,1.9246e-02
2.0870299,4.6649e-02
2.1336818,9.8383e-04
2.1346686,2.6507e-03
2.1373224,2.9730e-02
2.1670558,8.0302e-04
2.1678619,1.3339e-03
2.1691988,2.3942e-03
2.1715961,3.9575e-02
2.2111740,1.6264e-03
2.2128036,1.3296e-03
2.2141364,3.2527e-03
