time,runtime
0.0000036,2.5863e-02
0.0258725,4.7136e-04
0.0263465,6.6567e-04
0.0270143,4.2718e-04
0.0274438,5.0647e-02
0.0780945,8.2018e-03
0.0863001,4.0966e-04
0.0867125,3.8461e-04
0.0870994,3.6570e-04
0.0874674,3.5202e-04
0.0878216,3.5284e-04
0.0881762,4.6972e-04
0.0886496,4.9732e-04
0.0891503,3.4192e-04
0.0894958,3.5961e-04
0.0898576,4.3805e-04
0.0902975,3.2034e-04
0.0906200,6.6151e-04
0.0912849,4.2342e-04
0.0917105,4.1504e-04
0.0921277,4.1104e-04
0.0925423,3.7908e-04
0.0929247,3.3036e-04
0.0932569,3.9560e-04
0.0936544,3.3661e-04
0.0939927,3.0174e-04
0.0942962,3.2534e-04
0.0946237,3.8947e-04
0.0950152,3.6867e-04
0.0953859,3.7378e-04
0.0957614,5.4713e-04
0.0963103,7.0395e-04
0.0970166,4.9203e-04
0.0975108,4.2927e-04
0.0979421,6.0110e-04
0.0985451,7.0950e-04
0.0992564,3.5205e-03
0.1027792,5.5882e-04
0.1033401,6.5719e-04
0.1039992,7.8471e-04
0.1047874,5.8936e-03
0.1106832,4.3415e-04
0.1111195,2.5746e-02
0.1368710,1.8418e-03
0.1387172,3.4973e-04
0.1390705,3.6462e-04
0.1394374,3.3907e-04
0.1397786,3.6212e-04
0.1401427,4.3237e-04
0.1405773,3.0551e-04
0.1408850,3.5668e-04
0.1412436,3.0276e-02
0.1715229,3.7131e-04
0.1718966,3.9802e-04
0.1722967,3.1928e-04
0.1726183,3.8469e-04
0.1730052,3.3758e-04
0.1733447,3.7406e-04
0.1737207,3.7264e-04
0.1740952,4.0731e-04
0.1745050,4.4654e-04
0.1749539,5.3083e-04
0.1754870,5.4241e-04
0.1760318,3.6839e-04
0.1764024,4.3528e-04
0.1768399,5.7510e-04
0.1774173,5.7743e-04
0.1779970,4.1568e-04
0.1784150,5.6815e-04
0.1789855,3.3498e-04
0.1793224,5.2953e-04
0.1798543,6.8163e-04
0.1805383,6.4321e-04
0.1811839,3.7234e-04
0.1815582,5.0590e-04
0.1820660,4.7217e-04
0.1825401,3.7968e-04
0.1829217,3.7623e-04
0.1832998,4.9065e-04
0.1837929,4.2509e-04
0.1842202,4.1773e-04
0.1846402,3.9508e-04
0.1850375,5.5958e-04
0.1855995,4.0133e-04
0.1860030,5.3099e-04
0.1865363,4.5685e-04
0.1869955,4.0794e-04
0.1874057,5.8603e-04
0.1879939,8.0542e-04
0.1888016,5.4034e-04
0.1893442,6.0248e-04
0.1899487,4.8009e-04
0.1904311,1.3415e-02
0.2038521,1.0596e-02
0.2144513,4.2657e-04
0.2148803,1.6233e-02
0.2311338,4.4797e-04
0.2315842,1.2666e-02
0.2442545,4.3291e-04
0.2446898,3.4475e-04
0.2450369,4.3547e-04
0.2454761,2.2719e-02
0.2681987,2.4704e-02
0.2929056,4.5557e-04
0.2933632,6.4484e-04
0.2940101,5.8769e-04
0.2946000,6.2957e-04
0.2952319,5.0304e-04
0.2957373,3.4872e-04
0.2960883,4.3251e-04
0.2965231,3.0359e-04
0.2968289,7.8976e-04
0.2976209,3.8809e-04
0.2980113,4.8799e-04
0.2985016,6.0453e-04
0.2991085,4.7073e-04
0.2995815,4.3165e-04
0.3000154,8.4639e-04
0.3008642,4.1384e-04
0.3012802,4.9387e-04
0.3017764,5.6558e-04
0.3023441,4.1976e-04
0.3027659,6.8686e-04
0.3034551,5.5869e-04
0.3040161,3.4244e-04
0.3043604,5.6260e-04
0.3049250,5.0155e-04
0.3054288,4.4957e-04
0.3058807,5.8528e-04
0.3064683,3.9677e-02
0.3461491,5.8714e-03
0.3520249,3.8403e-04
0.3524114,2.9434e-04
0.3527080,3.5422e-04
0.3530644,3.3539e-04
0.3534018,4.3529e-04
0.3538390,3.4647e-04
0.3541874,1.0092e-03
0.3551986,5.5436e-03
0.3607457,4.2263e-04
0.3611712,3.2667e-04
0.3614999,4.9101e-04
0.3619929,3.8200e-04
0.3623768,3.6738e-04
0.3627461,3.8387e-04
0.3631318,3.7750e-04
0.3635116,2.7973e-04
