time,runtime
0.0430782,1.6644e-02
0.0647080,2.7791e-02
0.0989308,5.4145e-04
0.1118821,1.2325e-02
0.1259122,5.1518e-03
0.1336577,1.0267e-03
0.1493591,4.1768e-04
0.1538502,2.6093e-02
0.1965198,4.0359e-04
0.2016252,3.2354e-04
0.2063300,5.5119e-04
0.2423906,1.0610e-02
0.2794206,5.2803e-04
0.2870623,5.7259e-04
0.3043396,5.3604e-04
0.3134371,4.4237e-04
0.3247131,4.4678e-04
0.3358330,2.9306e-03
0.3436007,2.8783e-03
0.3512964,5.9612e-04
0.3567007,7.1492e-04
0.3611629,3.2458e-03
0.4001991,4.2553e-04
0.4034952,4.6244e-04
0.4081401,5.4917e-04
0.4133435,2.3788e-03
0.4494139,3.7047e-04
0.4594443,6.2468e-04
0.4672458,4.8602e-04
0.4774891,2.2174e-03
0.4923784,8.1042e-03
0.5065294,8.4674e-03
0.5189184,7.4825e-04
0.5346476,5.1968e-04
0.5496030,6.1666e-03
0.5808858,5.8683e-04
0.5887854,4.3487e-04
0.6068286,4.4903e-04
0.6143298,7.0884e-04
0.6291780,3.3747e-02
0.6674084,6.4990e-04
0.6842281,1.7016e-03
0.7025988,4.8130e-04
0.7254753,6.7830e-04
0.7316673,9.4167e-04
0.7574043,4.3835e-04
0.7641946,7.2034e-04
0.7702450,4.0529e-04
0.7874748,5.9124e-03
0.8025878,4.7513e-04
0.8092562,1.0297e-02
0.8246396,5.0307e-04
0.8303478,3.2711e-04
0.8456166,1.0141e-02
0.8684908,6.3666e-04
0.8934262,1.3351e-02
0.9127678,5.5207e-04
0.9218922,7.5327e-03
0.9392775,7.1062e-03
0.9515139,4.4999e-04
0.9582728,5.4322e-03
0.9737928,6.0425e-04
0.9816554,3.8492e-04
1.0202438,8.8266e-03
1.0464792,3.2101e-03
1.0585108,5.2393e-04
1.0643785,5.7344e-04
1.0700926,7.2136e-03
1.0830638,5.6168e-03
1.1082444,4.6832e-04
1.1249750,4.3503e-04
1.1334817,4.4672e-04
1.1427795,5.8130e-04
1.1478280,8.5188e-03
1.1784582,5.8354e-04
1.1839397,3.3372e-04
1.1881962,3.4989e-02
1.2292405,4.4274e-04
1.2351758,7.9740e-04
1.2494602,4.7966e-04
1.2554669,5.2575e-04
1.2698985,4.8155e-04
1.2746671,5.0432e-04
1.2838099,2.1196e-02
1.3293437,1.2070e-02
1.3472642,2.4799e-02
1.3925946,1.8597e-03
1.4005353,3.2209e-04
1.4086065,6.8589e-04
1.4176722,5.1069e-04
1.4342493,1.3755e-03
1.4472189,4.7751e-04
1.4520828,5.6318e-03
1.4822251,4.7101e-04
1.4894803,4.3131e-04
1.5098820,7.3457e-04
1.5264211,3.7140e-03
1.5408620,3.0220e-03
1.5457879,5.4228e-04
2.1814804,6.2565e-04
2.2554531,1.6643e-03
2.2721863,4.8608e-04
2.2910883,7.8637e-04
2.3065102,9.0166e-04
2.3121393,2.9159e-03
2.3400962,4.1993e-04
2.3533492,1.3113e-03
2.3587644,5.0221e-04
2.3769722,6.8878e-03
2.3950758,4.5874e-04
2.4071705,7.7609e-03
2.4191957,4.0609e-03
2.4341178,4.6620e-04
2.5027776,3.5390e-04
2.5073805,1.1024e-02
2.5270307,4.2674e-03
2.5523553,4.6930e-04
2.5688610,4.4977e-04
2.5772603,5.1801e-04
2.5825827,5.8878e-03
2.5952511,4.9835e-04
2.6556389,5.0082e-04
2.6609857,9.3866e-04
2.6674044,4.5845e-04
2.6986430,5.6293e-03
2.7367833,1.3124e-02
2.7658138,1.6409e-02
2.7879553,2.8018e-02
2.8354733,1.6254e-02
2.9035676,6.3261e-04
2.9093547,6.7877e-04
2.9245760,8.3268e-04
2.9355485,7.2561e-04
2.9410455,1.0383e-02
2.9564435,4.4776e-04
2.9651363,1.0117e-02
2.9880645,4.6908e-04
3.0058951,5.6672e-04
3.0258982,8.3203e-03
3.0441048,3.7922e-04
3.0493371,4.4712e-04
3.0767014,4.7918e-03
3.0877204,4.2667e-04
3.1456933,5.1059e-04
3.1520672,4.3422e-03
3.1608384,3.9739e-04
3.1660764,3.0356e-04
3.1716318,2.8147e-02
3.2063046,1.6918e-02
3.2351422,3.1662e-04
3.2399046,5.5643e-04
3.2444844,4.0860e-02
3.2872238,1.1226e-02
3.3058646,4.8481e-03
3.3263819,3.6136e-04
3.3383181,6.8433e-04
3.3472879,3.8931e-03
3.3556058,4.1690e-04
3.3609545,1.6099e-02
3.3969784,4.3605e-04
3.4028721,3.7951e-04
3.4267073,6.2474e-04
3.4422898,5.6452e-04
3.4474497,4.8739e-04
3.4530482,2.7241e-03
3.4812176,4.3491e-04
3.4866014,5.5996e-03
3.4964535,2.3827e-02
3.5274229,8.2915e-04
3.5344195,2.5284e-02
3.5658259,4.8666e-04
3.5715134,4.8574e-04
3.5862052,5.9601e-04
3.5889294,5.5376e-04
3.5939336,7.6536e-03
3.6093643,8.4080e-04
3.6225307,2.5747e-03
3.6302171,1.6851e-02
3.6520190,6.0666e-04
3.6692321,1.7281e-02
3.7234399,5.6045e-04
3.7381828,3.7433e-04
3.7510169,1.8021e-02
3.7731459,2.1693e-03
3.7834921,4.0529e-04
3.7922122,3.9838e-04
3.8269715,3.9794e-04
3.8322551,6.5505e-04
3.8401365,4.4656e-03
3.8536325,5.0192e-04
3.8856177,3.1557e-04
3.8924088,5.0874e-04
3.9116015,5.4062e-04
3.9163594,1.8546e-02
3.9420791,4.2897e-04
3.9526672,4.3827e-04
3.9601598,4.2656e-04
3.9649417,3.3176e-04
3.9720936,3.3784e-04
3.9770832,4.4681e-04
3.9876206,5.1996e-04
3.9972613,4.0537e-04
4.0019774,5.8531e-04
4.0136709,6.9414e-04
4.0197988,2.5447e-02
4.0768709,3.7294e-04
4.0863929,5.5785e-04
4.1407523,4.7041e-04
4.1464443,4.6655e-04
4.1581049,3.9207e-03
4.1774478,7.2993e-04
4.1824727,1.2773e-03
4.1890588,4.3467e-04
4.1951604,4.9374e-04
4.2106018,4.1527e-04
4.2245560,5.8814e-04
4.2305365,1.7528e-02
4.2546616,6.5099e-03
4.2684717,6.6235e-04
4.2811933,6.0248e-04
4.2865486,6.0071e-04
4.2915158,3.6015e-04
4.2975564,6.7214e-04
4.3103075,5.5819e-04
4.3358941,1.6281e-03
4.3456178,1.9270e-02
4.3866801,5.0283e-04
4.3923440,6.6280e-04
4.3985844,3.9679e-04
4.4032278,2.9148e-03
4.4244103,4.5650e-04
4.4297585,5.0256e-03
4.4410787,4.8607e-04
4.4721646,4.0198e-04
4.4808993,4.3237e-04
4.4859042,3.5468e-03
4.4994740,2.8211e-02
4.5364413,4.1918e-04
4.5617456,4.2212e-04
4.5707622,1.5754e-02
4.5900917,6.1469e-04
4.5926480,5.0305e-04
4.5985208,5.3995e-04
4.6159210,5.0238e-04
4.6309404,1.8122e-03
4.6464729,6.3459e-04
4.6548162,5.2501e-04
4.6608181,8.3228e-04
4.6680598,6.0129e-04
4.6919842,3.6819e-04
4.6995587,6.0899e-04
4.7232118,1.9492e-02
4.7545476,4.4078e-04
4.7630162,5.7240e-04
4.7712402,2.1275e-03
4.7786870,3.7455e-02
4.8206520,5.2357e-04
4.8798914,4.6624e-03
4.8866587,5.3596e-04
4.8890891,4.1609e-04
4.9024892,7.4042e-04
4.9508214,1.0083e-02
4.9633622,6.8721e-04
4.9763608,2.8650e-04
4.9861760,6.6544e-04
4.9945788,3.7290e-04
4.9996629,5.3878e-02
5.0614038,5.4967e-04
5.0665860,1.1959e-03
5.0865374,9.9375e-04
5.1009250,9.5466e-03
5.1156707,7.5278e-03
5.1284485,1.0149e-02
5.1431704,1.0924e-02
5.1675744,6.3641e-04
5.1778874,4.8835e-04
5.1838288,4.6076e-04
5.2020559,4.1166e-03
5.2341738,5.5032e-04
5.2394686,2.5312e-03
5.2466474,3.9381e-04
5.2525845,6.1097e-03
5.2712970,6.0042e-04
5.2913842,3.5297e-03
5.3057399,4.8036e-03
5.3193755,4.2618e-04
5.3374662,4.1625e-04
5.3576937,4.5910e-04
5.3760176,1.2441e-02
5.4035678,2.5544e-03
5.4106469,4.9698e-04
5.4159431,4.8144e-04
5.4228544,4.5638e-04
