time,runtime
0.0111579,1.2193e-02
0.0248606,1.6319e-03
0.0306049,1.9342e-03
0.0418374,1.5277e-02
0.0809236,3.3560e-02
0.1171076,7.5189e-03
0.1311591,2.3663e-03
0.1693202,9.8416e-04
0.1723888,1.2017e-02
0.1981501,4.0170e-03
0.2108734,7.4825e-03
0.2201120,3.3505e-03
0.2279493,1.0349e-02
0.2534057,3.4989e-03
0.2607247,3.9849e-03
0.2797847,3.3654e-03
0.3249732,3.3164e-03
0.3325440,7.7164e-03
0.3537364,9.1959e-03
0.3706709,4.1004e-03
0.3766268,3.7274e-03
0.3821490,2.2704e-03
0.3863830,1.0136e-02
0.4015910,3.5647e-03
0.4068879,4.0365e-03
0.4173022,3.3366e-03
0.4425727,2.9757e-03
0.4751107,1.0509e-02
0.5172639,5.8924e-03
0.5400832,1.9204e-03
0.5435597,1.4778e-02
0.5648133,9.6331e-03
0.5778788,3.1247e-03
0.5890143,3.8291e-03
0.6150954,3.7617e-03
0.6216355,1.0630e-02
0.6607584,1.2110e-02
0.6749154,3.3833e-03
0.6804227,3.8321e-03
0.7101704,2.0391e-02
0.7328443,1.7227e-02
0.7779734,3.4362e-03
0.7829303,3.7522e-03
0.8206298,1.3078e-02
0.8358085,4.9864e-03
0.8687880,1.9572e-02
0.8911017,2.7901e-03
0.9434174,3.5987e-03
0.9513811,3.2212e-03
0.9564292,9.6263e-03
0.9677984,6.3779e-03
0.9760702,3.4970e-03
0.9859402,4.0002e-03
0.9983383,4.0705e-03
1.0058292,4.4417e-03
1.0121728,3.7474e-03
1.0342388,4.0029e-03
1.0403234,1.2700e-02
1.0615666,1.1067e-02
1.0744742,4.3678e-03
1.0886694,1.1926e-02
1.1045786,4.4749e-03
1.1904422,4.6636e-03
1.1971717,3.6696e-03
1.2028174,7.4813e-03
1.2267879,4.5225e-03
1.2475843,1.4230e-02
1.2706926,3.5866e-03
1.2766975,3.6819e-03
1.2952383,2.3497e-02
1.3211185,2.4709e-02
1.3495145,3.9975e-03
1.3684309,9.3635e-03
1.3799512,4.2606e-03
1.3897775,5.1706e-03
1.4016136,4.2977e-03
1.4078085,4.0973e-03
1.4351960,3.3212e-03
1.4522971,7.3231e-03
1.4780369,3.5057e-03
1.4834765,3.7608e-03
1.5319402,4.0237e-03
1.5675898,6.4468e-03
2.2834115,4.1938e-03
2.2963820,3.4371e-03
2.3274195,7.5129e-03
2.3459425,5.9785e-03
2.3656459,1.2163e-02
2.3831758,3.5498e-03
2.3886979,3.5672e-03
2.4364557,3.5903e-03
2.4465775,3.2401e-03
2.4890785,4.0617e-03
2.4952145,3.0803e-02
2.5329893,7.2360e-03
2.5521364,4.9254e-03
2.5597119,5.7075e-03
2.5673428,1.4132e-02
2.6058955,1.0523e-02
