time,runtime
0.0000061,3.5175e-01
0.4133640,9.8606e-04
0.4194468,8.8671e-03
0.4322708,3.3006e-03
0.4437611,3.0123e-03
0.4631010,1.4063e-03
0.4720902,8.4196e-04
0.4799184,6.2577e-04
0.4934634,8.7609e-04
0.5079631,6.1933e-04
0.5140437,2.2539e-02
0.5421830,1.4610e-02
0.5613500,6.3292e-04
0.5715770,5.1334e-03
0.5916270,4.4263e-02
0.6406220,2.3887e-03
0.6563717,1.1760e-02
0.6718957,6.7442e-04
0.6789524,1.4342e-02
0.7033318,4.1321e-02
0.7532878,1.4152e-03
0.7597446,7.4298e-04
0.7706679,2.4372e-02
0.8117177,6.4293e-04
0.8223777,5.2523e-04
0.8286077,7.2883e-04
0.8337145,2.4743e-03
0.8538877,6.3964e-04
0.8591084,4.5171e-03
0.8759685,9.5068e-03
0.8937467,6.3166e-04
0.9165236,1.0031e-02
0.9345009,3.2645e-02
0.9703540,2.9688e-02
1.0045604,7.3284e-04
1.0386769,8.6989e-04
1.0868677,7.4823e-04
1.0984011,9.0897e-03
1.1120499,1.3695e-02
1.1310130,1.4072e-02
1.1955280,7.9188e-04
1.2358782,9.4004e-04
1.2445663,9.7175e-03
1.2745322,1.3645e-03
1.2797805,6.4086e-04
1.2829180,1.3049e-02
1.3255056,1.1707e-03
1.3318648,1.8566e-03
1.3387882,7.2464e-04
1.3416022,8.3473e-03
1.3539170,6.7577e-04
1.3594383,1.0527e-03
1.3787956,6.8200e-04
1.3847114,2.1918e-02
1.4161415,7.2287e-04
1.4205997,7.0397e-04
1.4278820,3.9460e-03
1.4372591,8.5200e-04
1.4609065,6.9379e-04
1.4653784,9.3559e-04
1.5132651,1.4595e-02
1.5339727,6.4641e-04
1.5722697,8.4901e-03
1.5863037,1.8542e-02
1.6316892,1.3546e-03
1.6544532,8.3303e-03
1.6683102,1.0331e-03
1.6839436,1.7542e-03
1.7029725,8.0095e-04
1.7104691,5.3393e-03
1.7436552,1.5355e-03
1.7543799,1.0138e-03
1.7949514,1.1317e-03
1.8146588,3.4061e-03
1.8425581,3.0482e-03
1.8496102,1.1278e-03
1.8691077,5.7531e-04
1.8875062,1.0447e-03
1.9163457,1.1716e-02
1.9316170,6.4899e-04
1.9366983,8.8933e-04
1.9453766,5.4709e-04
1.9479771,7.8134e-04
1.9531624,5.8797e-04
1.9565086,1.6667e-03
1.9746965,2.0787e-02
2.0014989,6.6328e-04
2.0099907,5.9667e-04
2.0191197,1.1926e-03
2.0290682,1.0074e-02
2.0719914,9.3079e-04
2.0845726,7.2660e-04
2.0873876,7.5045e-04
2.0901039,6.1046e-03
2.1050599,1.6707e-03
2.1115634,5.7865e-03
2.1293042,8.0390e-03
2.1462345,7.2795e-03
2.1614320,9.2404e-04
2.1805027,1.9414e-03
2.1964295,6.8541e-04
2.2331004,7.8244e-04
2.2459295,3.5562e-02
2.2860556,5.0506e-03
2.2974958,8.6140e-04
2.3300564,2.4592e-02
2.3675117,9.5756e-04
2.4253197,8.9509e-04
2.4308515,8.1286e-04
2.4377918,1.1413e-03
2.4681213,2.9475e-03
2.4759674,3.1633e-03
2.5117924,5.3267e-03
2.5623188,7.1425e-04
2.5695083,6.6331e-04
2.5749810,8.3973e-04
2.5904317,2.4565e-02
2.6318262,7.3296e-04
2.6516957,8.2435e-04
2.6659064,7.9527e-03
2.6761847,8.6325e-03
2.6886578,6.4707e-04
2.6994298,8.6869e-03
2.7117698,8.4333e-03
2.7234216,6.0550e-04
2.7351191,9.5544e-04
2.7533872,3.1591e-02
2.8095558,1.4290e-02
2.8266943,6.7156e-04
2.8352845,6.7644e-04
2.8594091,2.1103e-02
2.8878284,6.3021e-04
2.8949852,2.0267e-02
2.9195743,9.0903e-04
2.9238696,6.9910e-04
2.9446390,8.3631e-04
2.9497459,6.8615e-04
2.9542162,1.1424e-02
3.0022545,9.0986e-03
3.0279253,5.3366e-04
3.0419533,8.4774e-03
3.0592229,6.5733e-04
3.0647781,1.5359e-02
3.1060719,1.8925e-02
3.1451867,1.7522e-02
3.1692591,5.9245e-04
3.1816497,5.5250e-04
3.1926131,8.0995e-03
3.2339170,6.6193e-03
3.2472329,7.0080e-04
3.2835176,4.2068e-03
3.2948024,7.4246e-04
3.3094106,5.8113e-04
3.3135295,8.9454e-04
3.3188787,6.8810e-04
3.3743739,1.0606e-03
3.3817103,1.7675e-03
3.3961000,9.0630e-04
3.4012978,8.1353e-03
3.4158006,9.7340e-03
3.4273160,6.6576e-04
3.4306660,7.3735e-04
3.4349930,2.1712e-03
3.4405355,6.5540e-04
3.4559956,6.5091e-04
3.4785266,7.9128e-03
3.4956925,6.2785e-04
3.5752637,2.0778e-02
3.6106977,1.1321e-03
3.6165111,7.7527e-03
3.6308987,3.0951e-03
3.6387067,5.9102e-04
3.6824882,4.4535e-03
3.6956954,5.8295e-04
3.7034287,5.9921e-04
3.7105193,7.3221e-04
3.7192607,3.1064e-03
3.7277844,7.1199e-04
3.7328582,5.2716e-04
3.7389874,7.4608e-04
3.7453222,7.5225e-03
3.8100247,7.1525e-04
3.8290279,4.5852e-03
