time,runtime
0.0009894,3.7406e-04
0.4343859,4.5436e-04
0.4405081,3.4941e-04
0.4541858,3.3361e-04
0.4743049,4.1201e-04
0.4804009,3.6642e-04
0.4873773,5.8743e-04
0.5005234,3.6152e-04
0.5300515,3.4866e-04
0.5369635,3.6396e-04
0.6382692,3.6883e-04
0.6434506,4.7363e-04
0.6670225,4.3373e-04
0.6750013,4.5787e-04
0.6820906,3.1440e-04
0.7195678,4.1013e-04
0.8103986,3.6398e-04
0.8314027,4.5739e-04
0.8949465,3.1581e-04
0.9315974,4.4926e-04
0.9633991,4.3781e-04
0.9688768,4.2582e-04
0.9830774,3.7460e-04
0.9887251,3.6803e-04
1.0096688,5.7102e-04
1.0231971,3.8982e-04
1.0303426,4.5478e-04
1.0419904,4.5453e-04
1.0677223,3.5684e-04
1.0789638,3.1615e-04
1.1014746,3.2818e-04
1.1118779,4.4416e-04
1.1418211,2.8050e-04
1.1517692,4.1742e-04
1.1646012,5.8154e-04
1.1840465,3.2737e-04
1.1962366,4.1817e-04
1.2021985,3.1315e-04
1.2072035,3.5310e-04
1.2164203,3.2107e-04
1.2729342,3.8996e-04
1.2839031,4.0972e-04
1.3120682,4.4398e-04
1.3502300,5.2235e-04
1.3657265,4.9972e-04
1.4076862,3.9164e-04
1.4246445,4.5275e-04
1.4282759,3.7558e-04
1.4377848,3.6622e-04
1.4495472,4.2538e-04
1.4617177,3.7266e-04
1.4759995,4.0568e-04
1.4917207,4.9449e-04
1.5095481,3.7457e-04
1.5128359,3.5836e-04
1.5195332,3.8295e-04
1.5517020,3.4106e-04
1.5849082,3.6080e-04
1.5991178,4.0074e-04
1.6033524,4.1100e-04
1.6180080,4.1994e-04
1.6911244,4.1362e-04
1.7024436,5.5416e-04
1.7095282,4.2886e-04
1.7405092,3.9483e-04
1.8344899,4.6076e-04
1.8536869,5.8495e-04
1.8928274,3.6420e-04
1.9112651,5.5225e-04
1.9173549,4.5126e-04
1.9263083,5.2541e-04
1.9315923,5.7246e-04
1.9692916,4.9287e-04
1.9803047,3.3785e-04
2.0026088,4.8844e-04
2.0234945,4.4510e-04
2.0457253,3.2691e-04
2.1014366,3.8671e-04
2.1862152,4.0684e-04
2.1986606,4.3010e-04
2.2166314,4.4092e-04
2.2343869,5.9396e-04
2.2471972,4.5959e-04
2.2539608,4.0233e-04
2.2605939,4.4612e-04
2.2737014,4.3721e-04
2.2797630,3.8871e-04
2.2860823,5.9334e-04
2.3115394,4.1554e-04
2.3368170,3.7800e-04
2.3564565,4.7717e-04
2.3702059,8.3729e-04
2.3803248,4.9422e-04
2.5125537,5.9400e-04
2.5355639,3.6196e-04
2.5520864,5.0171e-04
2.5758944,5.1464e-04
2.5869672,9.5744e-04
2.5934553,4.9194e-04
2.6973255,4.8060e-04
2.7362502,5.5979e-04
2.8100755,5.0825e-04
2.8656971,4.6088e-04
2.8762722,3.8298e-04
2.9284499,4.4293e-04
