time,runtime
0.0106434,2.6085e-03
0.0258501,1.0752e-03
0.0301300,9.6824e-04
0.0469095,1.3702e-03
0.0770062,1.1282e-03
0.1061640,8.9940e-03
0.1184843,1.2827e-03
0.3426438,1.3846e-02
0.3613119,1.1557e-03
0.3686057,6.4052e-03
0.3782136,1.0182e-03
0.3823605,1.0999e-03
0.4042367,1.1957e-03
0.4582156,1.2069e-03
0.4862548,3.0456e-02
0.5529886,1.1271e-03
0.5721593,3.5482e-02
0.6107050,5.8163e-03
0.6200285,1.0262e-03
0.6251092,4.1155e-02
0.6695797,2.1025e-02
0.7081417,1.3939e-02
0.7249119,6.3128e-04
0.7429162,7.0785e-04
0.7475939,1.7376e-03
0.7748036,1.5359e-03
0.7795596,2.7132e-02
0.8187539,2.2178e-02
0.8440126,8.1222e-04
0.8595168,1.0082e-03
1.1753849,1.2189e-02
1.1942537,1.3891e-03
1.2134542,1.0323e-03
1.2174538,7.1549e-04
1.2854887,4.3600e-02
1.3322895,4.6804e-02
1.3860786,1.2786e-03
1.4177066,7.4641e-04
1.4269570,4.5012e-03
1.4381781,1.6378e-03
1.4523195,7.0404e-03
1.5039397,2.8017e-02
1.5555433,6.9359e-04
1.5597677,8.6475e-03
1.5983114,1.4154e-02
1.6151227,1.7688e-02
1.6446526,7.1449e-04
1.6693791,3.6014e-02
1.7084934,1.1519e-02
1.7777458,8.8380e-04
1.7991782,4.4224e-03
1.8109320,1.0120e-03
1.8149425,8.7528e-04
1.8330444,1.1525e-03
1.8637100,3.1782e-02
1.9557022,3.2253e-02
2.0216417,1.0746e-03
2.0288651,1.5728e-02
2.1031389,3.8513e-02
2.1445570,2.1241e-03
2.1505618,7.7742e-03
2.1669955,2.3630e-03
2.1889606,6.0410e-04
2.1930089,2.9939e-02
2.2902944,3.6890e-02
2.3340280,1.1638e-02
2.4191773,1.5881e-03
2.4413378,8.9617e-04
2.4458017,1.9094e-03
2.4549050,8.5515e-04
2.4587643,7.9611e-04
2.4647689,1.6242e-03
2.5423057,1.6831e-03
2.5700622,1.4647e-03
2.6004930,9.8298e-04
2.6073308,1.8631e-03
2.6319945,4.9446e-03
2.6396906,6.0386e-02
2.7046044,3.3867e-03
2.7715843,5.4602e-04
2.7747071,2.7700e+00
5.5907884,6.5616e-03
5.8115644,1.5417e-03
5.8172803,8.7994e-02
5.9224720,9.2918e-03
5.9572973,6.8900e-02
6.0319395,2.0359e-02
6.0691719,1.4364e-03
6.0822382,2.8574e-03
6.0966125,2.1855e-02
6.1358352,1.2722e-02
6.1924634,1.6272e-03
6.2065768,3.5999e-03
6.2248139,7.8127e-03
6.2374177,6.4759e-02
6.3266392,6.1148e-03
6.3360686,8.9238e-04
6.3575387,1.1227e-03
6.3819256,1.7175e-03
6.3878603,1.3368e-02
6.4044809,8.2486e-03
6.4227252,6.4135e-03
6.4318752,9.4950e-04
6.4364491,2.1088e-03
6.4762540,6.7131e-04
6.4961791,1.8072e-03
6.5168152,2.1277e-03
6.5249662,2.9207e-02
6.5602698,4.2835e-03
6.6328197,1.3160e-03
6.6379185,1.2573e-03
6.6419644,1.3760e-03
6.6471028,1.0828e-03
6.6514015,1.3444e-03
6.6560335,1.2716e-03
6.6604047,9.6276e-03
6.6792703,4.5541e-02
6.7521739,8.0191e-04
6.7658772,5.3247e-02
6.8224397,9.1431e-04
6.8382826,4.1538e-03
6.8465519,2.1756e-02
6.8725796,1.7059e-03
6.8781595,7.9048e-04
6.8917403,1.0117e-03
6.8959837,1.2710e-02
6.9331579,1.9765e-03
7.0214505,1.0396e-03
7.0249672,1.0422e-03
7.0295448,1.0125e-03
7.0426087,7.2546e-04
7.0540900,1.2123e-03
7.0917678,2.0058e-02
7.1173825,1.0325e-03
7.1270704,1.2017e-03
7.1319661,3.9523e-03
7.1520104,6.9516e-04
7.1573777,4.4645e-03
7.1707339,1.8755e-03
7.2009487,6.2319e-04
7.2043033,7.8949e-04
7.2640767,7.9543e-04
7.2674775,1.8273e-03
7.2922330,1.1924e-03
7.2963476,1.0219e-01
7.4455776,1.1019e-03
7.4549322,1.3030e-02
7.4900074,1.2405e-03
7.4947019,2.8034e-02
7.5464873,1.2423e-03
7.6096692,6.4928e-02
7.6815481,1.0290e-03
7.6857109,1.3390e-03
7.6967630,3.9371e-02
7.7395492,5.4555e-02
7.8105645,3.5238e-02
7.8492837,2.1108e-03
7.8664227,5.7936e-03
