time,runtime
0.0808695,1.6107e-03
0.0824837,1.2723e-03
0.0837589,4.6091e-03
0.0883716,1.3472e-03
0.0897217,5.5620e-02
0.1453451,3.2873e-03
0.1486360,1.0814e-01
0.2567795,2.5458e-03
0.2593281,2.0332e-02
0.2796642,1.8428e-02
0.2980958,1.7414e-03
0.2998401,1.2712e-03
0.3011140,4.8355e-02
0.3494723,1.4017e-01
0.4896419,8.5083e-03
0.4981532,1.6259e-03
0.4997824,1.8657e-03
0.5016513,1.6806e-03
0.5033351,3.3789e-03
0.5067171,3.4009e-02
0.5407290,1.8946e-03
0.5426264,1.5819e-03
0.5442134,3.8392e-03
0.5480561,7.4147e-03
0.5554737,1.6049e-03
0.5570818,1.7193e-02
0.5742784,1.9215e-02
0.5934968,1.4336e-02
0.6078362,1.4936e-03
0.6093327,1.6407e-03
0.6109769,2.0158e-02
0.6311387,5.0789e-02
0.6819314,1.6522e-03
0.6835868,4.3210e-02
0.7267994,1.1380e-03
0.7279405,6.1801e-03
0.7341238,2.3469e-03
0.7364743,1.8339e-03
0.7383118,1.3673e-03
0.7396820,1.6714e-03
0.7413567,2.3618e-03
0.7437220,4.3378e-02
0.7871029,4.4097e-03
0.7915158,1.6913e-03
0.7932102,2.2105e-03
0.7954239,4.0159e-02
0.8355857,2.1745e-03
0.8377635,2.0119e-03
0.8397782,2.4206e-03
0.8422022,1.4959e-02
0.8571652,1.4341e-03
0.8586028,3.0601e-02
0.8892074,2.1044e-03
0.8913148,1.3609e-03
0.8926790,4.2274e-03
0.8969093,1.2005e-03
0.8981130,1.0324e-03
0.8991482,1.2133e-03
0.9003646,3.2626e-03
0.9036306,3.5174e-02
0.9388075,1.2480e-03
0.9400582,9.4740e-02
1.0348021,1.4520e-03
1.0362569,1.4303e-03
1.0376902,1.5017e-03
1.0391951,2.4166e-02
1.0633639,4.9736e-03
1.0683407,1.6696e-03
1.0700135,2.6426e-03
1.0726590,1.4266e-03
1.0740981,6.0536e-02
1.1346371,1.9477e-03
1.1365876,1.4527e-03
1.1380432,1.4727e-03
1.1395189,1.5099e-02
1.1546240,1.7049e-02
1.1716766,3.4808e-02
1.2064885,1.2153e-03
1.2077069,1.2328e-03
1.2089425,1.3700e-03
1.2103157,3.0653e-02
1.2409723,2.2390e-02
1.2633654,1.6097e-02
1.2794652,1.5001e-03
1.2809684,1.3243e-03
1.2822955,1.4816e-03
1.2837799,4.2611e-03
1.2880452,1.1971e-03
1.2892454,2.5355e-02
1.3146042,1.7844e-03
1.3163917,2.5189e-03
1.3189135,1.4909e-01
1.4680080,1.4055e-03
1.4694166,1.5069e-03
1.4709268,2.2021e-03
1.4731317,4.5378e-02
1.5185134,7.8061e-03
1.5263227,2.1401e-02
1.5477284,1.2758e-03
1.5490079,2.2538e-03
1.5512656,2.2134e-03
1.5534829,7.2161e-03
1.5607032,7.1334e-03
1.5678399,1.5015e-03
1.5693449,5.8615e-02
1.6279641,1.7760e-03
1.6297433,1.7747e-03
1.6315215,1.5236e-03
1.6330479,1.3669e-03
1.6344177,1.0805e-03
1.6355011,1.7244e-03
1.6372287,2.0081e-03
1.6392397,1.0320e-03
1.6402752,1.2249e-02
1.6525276,1.5369e-02
1.6679000,3.1883e-03
1.6710912,1.2959e-03
1.6723900,8.1751e-04
1.6732104,1.5051e-03
1.6747185,7.7199e-02
1.7519212,4.3728e-03
1.7562971,1.6359e-03
1.7579361,1.3615e-03
1.7593006,2.7266e-03
1.7620299,1.2476e-03
1.7632804,1.8269e-03
1.7651100,1.4011e-03
1.7665138,1.3071e-03
1.7678237,1.2790e-03
1.7691058,1.3269e-03
1.7704355,1.1668e-03
1.7716051,1.1523e-03
1.7727603,8.0522e-04
1.7735683,1.0537e-03
1.7746247,2.0484e-03
1.7766762,1.3826e-03
1.7780616,3.6901e-02
1.8149655,6.9991e-02
1.8849601,2.6333e-01
2.1482928,1.4259e-01
2.2908905,1.5955e-03
