time,runtime
0.0033353,1.4564e-03
0.0308616,1.0711e-03
0.0389249,9.4578e-04
0.1212449,2.3658e-02
0.1899094,1.2991e-03
0.1941194,4.8856e-03
0.2190466,9.7904e-04
0.2826731,3.2957e-02
0.3182875,1.2904e-03
0.3227222,1.0403e-03
0.3469720,1.2004e-03
0.3521931,9.1262e-04
0.3563665,1.3530e-03
0.3603410,1.3053e-03
0.3968375,2.1814e-02
0.4407014,6.2904e-03
0.4614787,1.2107e-03
0.4655877,1.1260e-03
0.5090883,6.4712e-02
0.6049971,3.4388e-03
0.6121081,8.9067e-04
0.6272818,1.5723e-03
0.6316084,9.4708e-04
0.6350863,1.5156e-03
0.6629916,1.3540e-03
0.7352368,4.5207e-03
0.7424963,1.3898e-02
0.7659801,3.1421e-02
0.8012059,9.2338e-03
0.8442891,1.5557e-03
0.8603100,4.1902e-03
0.9150125,8.7933e-03
0.9271378,3.7811e-02
0.9797800,1.1764e-03
0.9842206,1.2812e-03
0.9884913,3.8128e-02
1.1400366,7.9272e-04
1.1446301,1.3019e-03
1.1545043,1.1673e-02
1.1962138,1.0832e-02
1.2109820,2.4115e-03
1.2201039,1.3161e-03
1.2579033,1.8512e-03
1.2621305,9.2178e-04
1.2770827,1.0053e-03
1.3016843,5.0918e-02
1.3781259,8.5844e-04
1.4412125,8.8590e-04
1.4489613,4.5359e-03
1.5163682,5.2626e-03
1.5604614,1.3691e-02
1.5777144,1.6191e-02
1.5977017,1.1913e-03
1.6084638,9.1083e-04
1.6124530,1.2133e-03
1.6312068,1.7686e-03
1.6359069,3.7289e-02
1.8153672,1.8467e-03
1.8212976,2.0083e-03
1.8551184,1.0776e-03
1.8595767,1.0144e-03
1.8802865,8.0660e-04
1.8842751,1.0246e-03
1.8958232,1.2917e-03
1.9032283,1.0051e-03
1.9085275,9.3636e-04
1.9127135,1.9461e-03
1.9692242,1.2212e-03
2.0009015,1.4513e-03
2.0051160,8.2370e-04
2.0103450,4.7423e-03
2.0229700,6.6419e-02
2.0931787,1.7983e-03
2.0982447,1.4023e-03
2.1124322,1.0300e-03
2.1376152,4.1247e-03
2.1516168,8.2847e-04
2.1550508,9.6922e-04
2.2175994,1.1987e-03
2.3070166,1.3895e-03
2.3131995,1.1859e-03
2.3201375,1.7861e-03
2.3629239,1.0332e-03
2.3690255,1.4321e-02
2.4011719,1.8683e-02
2.4578564,1.2091e-03
2.4638407,1.5423e-03
2.4706781,1.3787e-02
2.5128753,2.0151e-02
2.5536559,1.0373e-03
2.6430190,2.7486e-02
2.7712193,7.6052e-04
2.8120871,7.3057e-04
5.4215636,1.8190e-01
5.6380782,1.5489e-01
5.8309040,9.5231e-03
5.8485765,4.4132e-03
5.8905869,1.2348e-02
5.9062743,4.0740e-03
6.0001330,1.2097e-03
6.0055938,1.3421e-03
6.0415077,3.0620e-01
6.3737168,1.0160e-03
6.3799462,2.5500e-02
6.4086514,5.8081e-03
6.4311724,1.0928e-03
6.4436293,1.0606e-03
6.4935184,2.0172e-02
6.5319233,9.5141e-03
6.5780191,9.4106e-04
6.5987511,2.8223e-03
6.6117554,1.0243e-03
6.6165037,1.2092e-03
6.6206412,1.1811e-02
6.6712847,1.6940e-02
6.7119155,1.3624e-03
6.7273979,1.2463e-03
6.7468362,6.6083e-03
6.7812243,4.1925e-03
6.8795838,4.4662e-02
6.9478974,1.7211e-02
7.0039754,2.3061e-03
7.0396180,9.5019e-02
7.1455755,1.3436e-03
7.1726437,4.9241e-03
7.1860638,3.1466e-03
7.1933408,1.1514e-03
7.2387862,5.2204e-03
7.2796950,7.3627e-04
7.2980442,4.6676e-03
7.3325419,1.3202e-03
7.3373671,1.2608e-03
7.3435388,2.0928e-02
7.3842306,9.7942e-04
7.4169183,9.3365e-04
7.4413104,1.4807e-03
7.4623542,1.2863e-02
7.5265656,1.1144e-03
7.5746350,1.3270e-03
