time,runtime
0.0031609,1.7269e-03
0.1258323,6.0326e-04
0.1432276,7.4547e-04
0.2179763,5.9488e-04
0.2228557,6.4276e-04
0.2842825,5.8849e-04
0.3745497,5.2805e-04
0.3883158,4.6302e-04
0.3933609,1.0102e-03
0.3987865,6.2115e-04
0.4440150,7.5881e-04
0.4785205,6.6654e-04
0.5677307,5.8335e-04
0.5772403,5.9682e-04
0.5811846,5.7845e-04
0.7399068,7.5359e-04
0.7891878,4.7887e-04
0.7938443,6.5467e-04
0.7974479,9.4486e-04
0.8329107,5.3632e-04
0.8439340,7.5465e-04
0.8520724,5.0479e-04
0.9019804,8.1739e-04
1.0022111,6.5001e-04
1.0224856,4.2791e-04
1.1256884,7.7623e-04
1.1575934,6.4217e-04
1.1681416,4.6634e-04
1.1724443,7.7056e-04
1.2275051,6.2562e-04
1.2592021,7.3288e-04
1.2823254,6.9174e-04
1.3367920,5.0598e-04
1.3427248,6.0497e-04
1.3471717,6.5052e-04
1.3983688,5.3890e-04
1.4550729,7.9415e-04
1.4605187,4.9960e-04
1.5520529,5.3798e-04
1.6018693,5.1612e-04
1.6062869,7.6642e-04
1.6403280,3.7549e-04
1.6496640,6.9737e-04
1.7145159,5.4999e-04
1.7858516,8.3103e-04
1.8014989,5.4814e-04
1.9264582,5.3210e-04
1.9434724,5.0182e-04
1.9486014,5.2408e-04
2.1154554,8.5771e-04
2.1683891,4.1539e-04
2.1783471,6.5768e-04
2.1838863,6.0077e-04
2.3696291,4.9742e-04
2.4367790,4.2183e-04
2.5158501,6.3282e-04
2.5718882,8.5679e-04
5.6657233,5.6348e-04
5.8868694,7.8425e-04
5.9744601,7.1500e-04
5.9987121,5.8496e-04
6.0099058,1.3389e-03
6.0293269,7.8445e-04
6.0352397,5.3288e-04
6.0680838,6.4915e-04
6.0943003,6.1371e-04
6.1295714,5.9689e-04
6.1560726,6.8617e-04
6.1608553,5.9681e-04
6.2079916,6.2622e-04
6.2761192,5.3854e-04
6.2949786,5.3327e-04
6.3173466,9.4926e-04
6.3659692,7.1799e-04
6.3945413,6.1428e-04
6.4179778,6.5943e-04
6.4270234,5.9210e-04
6.4852443,5.8954e-04
6.4971519,5.1800e-04
6.5219855,6.2416e-04
6.5442023,5.3042e-04
6.5964961,5.5528e-04
6.6230426,6.7980e-04
6.7120543,5.5753e-04
6.7746596,5.8116e-04
6.7899780,5.0288e-04
6.8165760,6.6601e-04
6.8268099,5.7642e-04
6.8333168,7.1288e-04
6.8371468,6.7084e-04
6.8645463,7.8121e-04
6.9059067,7.8189e-04
6.9852419,7.1564e-04
6.9998507,5.4006e-04
7.0129061,6.2099e-04
7.0724139,4.7801e-04
7.0756998,6.2701e-04
7.2353902,5.7035e-04
7.2395797,7.2670e-04
7.2448602,9.0203e-04
7.2579894,7.1640e-04
7.2626886,5.6809e-04
7.2718225,5.7107e-04
7.3368726,5.1301e-04
7.3654594,5.8627e-04
7.3699121,6.0453e-04
7.3775334,4.2250e-04
7.3859196,4.2401e-04
7.3906932,6.0630e-04
7.4193921,8.0214e-04
7.4317074,6.4653e-04
7.4358335,4.5366e-04
7.4403405,4.5451e-04
7.4445567,5.7640e-04
7.4671254,6.2534e-04
7.4733458,5.2756e-04
7.5319014,6.8327e-04
7.5935426,5.5738e-04
7.5982137,6.6628e-04
7.6127133,8.4454e-04
7.6171565,5.9363e-04
7.7504411,6.1822e-04
7.8033967,6.1229e-04
7.8341312,6.0466e-04
7.8944664,6.1368e-04
7.9041452,4.1700e-04
8.0622625,7.9868e-04
8.0801525,7.9510e-04
8.1389008,5.2505e-04
8.1484613,6.1558e-04
8.1788225,1.0109e-03
8.1840305,5.7496e-04
8.2274275,5.5652e-04
8.2319069,6.1177e-04
8.4710188,6.5638e-04
8.4821444,5.3872e-04
8.9397144,6.2703e-04
9.0745506,1.6304e-03
9.2500744,6.5911e-04
9.2770500,5.0279e-04
9.2813826,3.3404e-04
9.2993498,6.3369e-04
9.3588610,5.3168e-04
9.4389801,6.5467e-04
9.4499769,6.1809e-04
9.4931917,9.9852e-04
9.5476465,5.7454e-04
9.5693922,6.8666e-04
9.5740881,6.7125e-04
9.5780420,5.5160e-04
9.5833769,6.4101e-04
9.5864697,4.8953e-04
9.7427225,6.3825e-04
9.8155766,5.2077e-04
9.8413658,5.2964e-04
9.9363070,5.4084e-04
9.9429922,5.7083e-04
9.9481421,6.5815e-04
10.0369091,6.5092e-04
10.0549936,8.1184e-04
10.0595188,5.8134e-04
10.0649414,5.7478e-04
10.0710888,7.7673e-04
10.0784378,6.2032e-04
10.1417093,6.2816e-04
10.1662092,6.8210e-04
10.1863937,7.2312e-04
10.2540112,5.1864e-04
10.3717747,5.2896e-04
10.3853140,7.0410e-04
10.4191885,4.9164e-04
10.4238749,7.5715e-04
10.4292622,9.3621e-04
10.4419441,6.9068e-04
10.4495802,9.6076e-04
10.4881067,5.1902e-04
10.4959612,1.1833e-03
10.5009298,6.4418e-04
10.5090227,6.1031e-04
10.5146236,4.1886e-04
10.5353537,6.7635e-04
10.5403881,4.0420e-04
10.5447493,1.3506e-03
10.5924931,4.8055e-04
10.5984583,7.6243e-04
10.6047630,4.4106e-04
10.6256609,6.4363e-04
10.9267368,5.2690e-04
10.9584084,7.7133e-04
10.9638462,8.5209e-04
10.9690561,5.0110e-04
10.9866858,4.9878e-04
11.0174942,7.9401e-04
11.0245037,6.5678e-04
11.0818806,7.6500e-04
11.0872707,6.8448e-04
11.0916834,6.0926e-04
11.1011209,5.6018e-04
11.1064367,7.0560e-04
11.1151857,6.7225e-04
11.1197596,6.3907e-04
11.1331091,7.1598e-04
11.1381979,4.7837e-04
11.1808243,5.8143e-04
11.1964102,6.1242e-04
11.2016840,7.2910e-04
11.2065916,5.0443e-04
11.2129259,8.4894e-04
11.2363596,8.1661e-04
11.2409372,6.8002e-04
11.2525234,6.7509e-04
11.2586346,5.2334e-04
11.2670231,4.4062e-04
11.2742910,4.3160e-04
11.3003979,5.3118e-04
11.3052502,1.2353e-03
11.3127861,5.8289e-04
11.3241053,9.1248e-04
11.3284006,5.7728e-04
11.3500156,5.7182e-04
11.3802891,5.3366e-04
11.3914080,6.4688e-04
11.3961000,7.2152e-04
11.4014854,5.7271e-04
11.4058533,6.0926e-04
11.4100475,6.3686e-04
11.4158249,5.6472e-04
11.4217615,6.1908e-04
11.4263239,6.8005e-04
11.4328203,6.7681e-04
11.4373884,6.1760e-04
11.4718819,8.1361e-04
11.4796677,5.7313e-04
11.7720604,5.9175e-04
11.8125334,6.7877e-04
11.8406067,5.6617e-04
11.8456259,4.8961e-04
11.9039068,6.0269e-04
11.9689245,4.7105e-04
11.9738379,6.2946e-04
11.9985752,6.1977e-04
12.0034056,8.3651e-04
12.0082798,9.4147e-04
12.0132742,1.3189e-03
12.0275459,6.4967e-04
12.0915651,8.1723e-04
12.1315775,7.8002e-04
12.1415567,5.1561e-04
12.1471729,6.0517e-04
12.1528587,7.6208e-04
12.1572514,6.0556e-04
12.1665764,8.9918e-04
12.2075138,1.0966e-03
12.2473993,5.0460e-04
12.3334684,5.3828e-04
12.3373356,5.7374e-04
12.3421564,5.4816e-04
12.3459606,7.9426e-04
12.4461002,5.5473e-04
12.4521399,5.9502e-04
12.4974365,5.7442e-04
12.5052290,5.5266e-04
12.5214396,6.1377e-04
12.5860968,7.6577e-04
12.6655846,5.8538e-04
12.7806387,4.7677e-04
12.7865705,5.8118e-04
12.7905712,6.8537e-04
12.7945232,6.6103e-04
12.7988110,7.1841e-04
12.8251743,5.6975e-04
12.8362799,6.0117e-04
12.8717232,5.8962e-04
12.9176016,7.6163e-04
12.9422197,6.3987e-04
13.0273590,6.8718e-04
13.0342436,6.7872e-04
13.0884047,7.4625e-04
13.1801853,7.9570e-04
13.3233023,5.1047e-04
13.3275633,4.0215e-04
13.3795776,7.7714e-04
13.4094143,4.8832e-04
13.4666386,5.1203e-04
13.5623932,5.8257e-04
13.5837975,6.1992e-04
13.7991915,5.9081e-04
13.8202000,5.4331e-04
13.8452749,5.3743e-04
13.8503714,6.5053e-04
13.8958826,1.2640e-03
13.9136353,1.0674e-03
13.9195108,7.1169e-04
13.9338303,7.6429e-04
14.0216398,6.7064e-04
14.0944328,4.8100e-04
14.7596760,7.7009e-04
14.8611898,1.0625e-03
15.0084696,5.4971e-04
15.0372066,7.2322e-04
15.0679121,5.1241e-04
15.1061544,7.3741e-04
15.1105947,9.2678e-04
15.1149092,5.9269e-04
15.1892138,7.9980e-04
15.2534647,6.2021e-04
15.2694368,4.6511e-04
15.2730322,5.5308e-04
15.3552370,6.6536e-04
15.3599443,4.5044e-04
15.3932896,6.2846e-04
15.4282732,5.8983e-04
15.5636320,6.9863e-04
15.5984049,6.4647e-04
15.6180725,7.2469e-04
15.6367331,7.6122e-04
15.6792679,4.6480e-04
15.6830683,7.0144e-04
15.7028656,6.2309e-04
15.7076483,8.3629e-04
15.7215700,5.1510e-04
15.7271547,6.2910e-04
15.7870121,5.5910e-04
15.7912836,7.3254e-04
15.8306742,5.4750e-04
16.3392677,5.3509e-04
16.3703156,5.8300e-04
16.3931866,6.2537e-04
16.5445042,6.6014e-04
16.6313553,5.4570e-04
16.6622734,5.8807e-04
16.6952286,5.6205e-04
16.7024345,4.7526e-04
16.7070465,4.8440e-04
16.7339077,6.8256e-04
16.7696953,5.1956e-04
16.8284664,5.4139e-04
16.8643703,8.4411e-04
16.9095516,5.0219e-04
16.9258213,6.3479e-04
16.9298344,5.5998e-04
16.9376602,5.6545e-04
16.9807968,5.7192e-04
17.0358181,8.0320e-04
17.0415916,7.1928e-04
17.0548306,1.1573e-03
17.0616398,1.1385e-03
17.1655197,7.8303e-04
17.2237606,5.5066e-04
17.2283916,6.5870e-04
17.2376823,5.2285e-04
17.2860889,6.2749e-04
17.3326416,7.0324e-04
17.3371563,7.8150e-04
17.3532734,7.7026e-04
17.3719559,6.4955e-04
17.4291897,7.3601e-04
17.4722824,8.6619e-04
17.4766502,6.5421e-04
17.4805946,5.2111e-04
17.5103436,5.0986e-04
17.5144386,6.5842e-04
17.5286274,4.3967e-04
17.5320816,6.2955e-04
17.5468960,6.8662e-04
17.5576515,5.3332e-04
17.5795040,8.4348e-04
17.5941944,5.9733e-04
17.6096458,7.4984e-04
17.6133709,6.3110e-04
17.6166439,4.8960e-04
17.6227417,7.5803e-04
17.6296787,5.7707e-04
17.6418724,5.4146e-04
17.6478252,5.5251e-04
17.6777973,4.9914e-04
17.6809273,5.4574e-04
17.7058506,6.3257e-04
17.7100143,6.5521e-04
17.7145729,5.7044e-04
17.7194748,1.2927e-03
17.7660007,6.6281e-04
17.7812824,5.1435e-04
17.7948170,5.6818e-04
17.8002033,7.8777e-04
17.8085556,7.7613e-04
17.8160858,8.7683e-04
17.8351402,7.3454e-04
17.8388577,5.2670e-04
17.8432522,6.2998e-04
18.1812687,1.0837e-03
18.1933403,8.7950e-04
18.2499828,5.2846e-04
18.2828140,7.1491e-04
18.3035259,8.1325e-02
18.4511452,7.9203e-04
18.4583206,6.6629e-04
18.6302586,5.3781e-04
18.6587009,4.2361e-04
18.7025471,7.5989e-04
18.7075119,5.8795e-04
18.7121696,6.8399e-04
18.7551308,6.1601e-04
18.7782459,6.9460e-04
18.8065720,5.4559e-04
18.8270359,6.5283e-04
18.8504486,7.3775e-04
18.8546352,5.6935e-04
18.8704681,7.1499e-04
18.9000530,5.3682e-04
18.9375572,8.0918e-04
19.0358124,6.2181e-04
19.0823841,4.8170e-04
19.1924858,8.4486e-04
19.2900238,6.6936e-04
19.3074360,6.2937e-04
19.3222561,7.5754e-04
19.3360023,6.3477e-04
19.4135132,6.4126e-04
19.4296494,9.1719e-04
19.4353352,7.2151e-04
19.4945450,7.0316e-04
19.4982395,6.6796e-04
19.5022697,4.8834e-04
19.5073547,4.4934e-04
19.5214081,5.5442e-04
19.5309811,4.2256e-04
19.5429726,6.5511e-04
19.5480080,5.6812e-04
19.5755882,5.8862e-04
19.6798992,6.4834e-04
19.6993599,5.6145e-04
19.7214928,6.4016e-04
19.7303333,4.9422e-04
19.7739506,5.8435e-04
19.7846527,6.6422e-04
19.8017330,5.3454e-04
19.8057156,5.7884e-04
19.8095951,8.3186e-04
19.8414707,6.9355e-04
19.8826904,5.9068e-04
19.8922024,5.9406e-04
19.9448147,6.4879e-04
19.9501038,6.3536e-04
19.9825840,5.7705e-04
20.0270672,8.3512e-04
20.0640755,4.5208e-04
20.1027069,9.3942e-04
20.1862183,5.4555e-04
20.2107010,8.8598e-04
20.6937447,5.6327e-04
20.7602901,6.1900e-04
20.7695847,5.7963e-04
20.7819328,7.6960e-04
