time,runtime
0.0000050,1.8592e-03
0.0415373,1.2257e-03
0.0580922,2.2894e-02
0.0836703,3.8876e-02
0.1253385,1.1562e-03
0.1389255,1.8851e-03
0.7104408,2.2098e-01
0.9958086,2.3213e-03
1.0953139,1.5532e-03
1.1005768,1.5184e-03
1.1059197,1.7316e-03
1.1339719,1.7425e-03
1.2033998,1.9591e-03
1.2866180,1.4848e-03
1.3809867,1.8804e-03
1.3861240,5.1563e-03
1.4173748,2.5088e-03
1.4241230,1.5240e-03
1.4294558,1.6093e-03
1.4429621,2.6451e-02
1.5044088,5.1416e-02
1.6043508,1.4088e-03
1.6637523,6.5640e-03
1.6918710,2.6362e-03
1.7042402,1.0044e-02
1.7645613,1.8967e-03
1.8087274,2.8960e-03
1.8328078,1.8402e-03
1.8412787,2.1133e-03
1.8474153,1.5004e-02
1.9663290,1.5258e-03
1.9735600,1.6319e-03
2.0162456,1.6915e-03
2.0215559,2.0978e-03
2.0287855,1.7746e-03
2.0527041,1.2726e-03
2.1295190,1.3769e-03
2.1523981,2.9183e-03
2.1637416,5.7555e-02
2.2253773,2.8905e-03
2.2333672,2.7185e-03
2.2395103,2.8162e-02
2.2817900,6.2995e-03
2.6065559,8.0791e-02
2.8273571,2.8932e-02
2.9405129,3.0830e-02
2.9831173,1.1410e-03
2.9872401,1.4973e-03
3.0175192,1.4876e-03
3.0531037,1.9133e-02
3.0751286,1.3797e-03
3.0966406,4.3291e-03
3.1227503,1.6252e-03
3.1275377,1.2985e-03
3.1317816,1.4743e-03
3.1396687,1.5595e-03
3.1610019,1.1194e-03
3.1654882,1.0283e-03
3.1737022,1.1370e-02
3.1890593,1.2425e-02
3.2053568,1.3150e-03
3.2374268,1.6846e-03
3.2484462,2.8226e-02
3.2915092,1.3629e-03
3.3042526,1.5726e-02
3.3243887,4.1618e-02
3.4103031,2.9513e-02
3.4427423,1.7259e-03
3.4522207,1.5759e-03
3.4597025,5.2602e-02
3.5494020,3.8233e-03
3.5568302,1.1878e-03
3.5898540,1.3896e-03
3.5948381,1.1335e-02
3.6444366,1.9543e-03
3.6813197,6.7859e-03
3.6911082,9.3915e-03
3.7173355,1.0043e-03
