time,runtime
0.0000050,1.7350e-03
0.0017431,1.4337e-03
0.0031796,1.1266e-03
0.0043090,9.1627e-03
0.0134762,3.0637e-03
0.0165435,1.5551e-03
0.0181016,5.1228e-02
0.0693333,1.9938e-02
0.0892784,2.4035e-02
0.1133178,2.0636e-02
0.1339612,1.3424e-03
0.1353065,1.9076e-02
0.1543858,1.7725e-03
0.1561614,1.2885e-03
0.1574558,1.6745e-03
0.1591331,1.2936e-03
0.1604297,1.5222e-03
0.1619548,1.6919e-03
0.1636494,1.1233e-03
0.1647756,3.7352e-02
0.2021315,1.6908e-03
0.2038264,1.1854e-03
0.2050151,8.3167e-03
0.2133358,1.1104e-03
0.2144495,1.6645e-03
0.2161185,1.1075e-02
0.2271973,8.7343e-04
0.2280744,4.7126e-02
0.2752042,2.1279e-02
0.2964872,1.9495e-03
0.2984399,1.9772e-03
0.3004198,2.0562e-03
0.3024787,1.5206e-03
0.3040020,1.6372e-03
0.3056417,2.0315e-03
0.3076759,1.5561e-03
0.3092345,2.0488e-03
0.3112859,2.0775e-03
0.3133660,4.4496e-03
0.3178182,1.7925e-03
0.3196132,1.6991e-03
0.3213148,1.7841e-03
0.3231019,1.1570e-03
0.3242617,1.6593e-03
0.3259256,3.8948e-03
0.3298244,4.1042e-03
0.3339328,2.8941e-02
0.3628781,1.3974e-03
0.3642784,1.2032e-03
0.3654842,1.9676e-03
0.3674579,5.9268e-02
0.4267301,1.7073e-03
0.4284402,1.8364e-03
0.4302794,2.0121e-03
0.4322940,1.8894e-03
0.4341860,2.0182e-03
0.4362070,2.2494e-03
0.4384592,1.9263e-03
0.4403885,9.9598e-02
0.5399905,1.7929e-03
0.5417871,1.7592e-03
0.5435495,1.7505e-03
0.5453030,1.7919e-03
0.5470994,3.1899e-02
0.5790023,1.2507e-03
0.5802562,1.9292e-03
0.5821899,2.3054e-03
0.5844998,3.3144e-03
0.5878187,1.3677e-01
0.7245954,1.6117e-03
0.7262127,7.0111e-02
0.7963272,1.9094e-03
0.7982426,2.0068e-03
0.8002522,2.7225e-03
0.8029783,1.1585e-02
0.8145672,1.8103e-03
0.8163809,1.7263e-03
0.8181102,1.4316e-03
