time,runtime
0.0000045,1.0697e-03
0.1287765,1.0598e-02
0.1551902,9.9980e-04
0.3052050,1.3270e-03
0.6071646,1.0005e-03
0.6192137,7.0055e-04
0.6318600,1.0954e-03
0.6442782,9.5572e-04
0.6612669,8.8236e-04
0.6719812,8.6679e-04
0.7198699,7.1531e-04
0.7471635,6.3089e-04
0.7592326,8.2918e-04
0.7723249,1.1721e-02
0.8201494,1.8525e-01
1.1969603,9.1452e-04
1.2136456,8.3793e-02
1.3622760,1.1753e-03
1.4724772,7.8559e-04
1.7524611,4.8847e-03
1.7751011,1.6138e-01
2.2833805,1.2110e-02
2.3075917,1.0770e-03
2.5391099,7.6816e-04
2.5511272,8.4641e-04
2.5579259,6.5183e-04
2.9828818,1.7257e-03
3.6369202,9.6862e-04
3.7875354,8.7688e-03
3.9373021,1.1126e-03
3.9546416,1.4799e-03
4.0699525,1.1544e-03
4.1035066,1.0321e-01
4.2141738,1.1402e-02
4.2700534,1.6202e-03
4.3591237,8.5899e-04
4.4636068,7.5527e-04
4.4753809,8.7553e-04
4.4873042,8.0120e-04
4.5415206,1.4501e-03
4.6350904,1.6671e-01
4.8206315,1.0405e-03
5.0520754,1.5112e-03
5.0710220,6.2762e-03
5.0978026,6.6288e-04
5.1133170,1.1482e-03
5.1285129,8.7935e-04
5.1445909,7.2724e-02
5.2722254,5.9015e-02
5.3506246,8.6573e-04
5.3672419,6.0231e-04
5.3992462,1.0578e-03
5.4215755,1.0738e-02
5.4420419,7.1065e-04
5.6165967,2.1540e-02
5.6693740,1.1620e-02
5.9342136,1.1475e-03
5.9568110,1.6385e-03
5.9754338,5.8535e-04
6.3031826,2.0484e-02
6.9477053,1.4448e-02
7.0848804,1.1766e-03
7.1606550,9.4963e-02
7.2698412,7.4571e-03
7.2902951,1.3174e-03
7.3063698,1.0512e-03
7.3221669,1.0235e-03
7.3364496,9.6452e-04
7.3613501,5.8307e-04
7.3906345,7.1267e-04
7.4449358,1.0059e-03
7.4531522,8.0780e-04
7.4642024,2.5199e-03
7.5624838,9.1550e-04
7.7129245,7.8244e-04
7.7680492,1.1456e-01
7.8923039,1.3171e-03
7.9007149,5.6586e-02
8.0072422,1.8488e-03
8.0852747,1.1297e-03
8.0963640,1.3408e-02
8.1449480,1.8309e-03
8.1804352,3.1481e-03
8.2368889,9.1430e-04
8.2914295,8.7605e-04
8.3679676,1.1625e-03
8.3771534,1.6313e-03
8.8075352,1.0011e-03
8.8266640,1.2511e-02
8.8591928,1.0444e-03
8.8707027,1.2080e-03
8.8817501,9.8875e-04
8.8902798,1.7444e-03
8.9111500,1.1528e-03
8.9205103,8.4396e-03
8.9437037,8.5763e-03
8.9709892,1.5377e-03
8.9839840,1.0254e-03
9.0256281,1.7844e-03
9.0410576,1.0666e-03
9.0551767,6.6326e-04
9.0724707,1.2429e-03
9.0888319,7.3855e-03
9.1144218,7.3146e-04
9.1226711,1.1188e-03
9.1292858,7.9416e-03
9.1693420,8.3621e-04
9.1904039,1.6984e-03
9.1995497,2.0239e-03
9.2149725,1.1822e-03
9.2234879,8.1197e-04
9.2319469,7.7635e-03
9.3046446,1.9737e-01
9.5769796,2.6459e-03
9.6136217,8.3923e-04
9.6300821,7.6536e-04
9.6394787,1.0358e-03
9.6908884,8.6271e-04
9.7274542,5.2213e-02
9.8382206,1.3913e-03
9.8532219,2.4931e-03
9.9013329,1.1327e-03
10.0047722,9.1007e-04
10.0309782,7.2735e-03
10.0620461,8.2081e-02
10.1598043,6.2785e-04
10.1760941,4.6658e-02
10.3870573,1.7426e-01
10.7084122,6.1482e-04
10.7176847,7.8522e-04
10.7471418,1.2594e-03
10.8547840,1.0033e-01
11.1277676,4.7806e-02
11.1841078,1.1570e-03
11.2333555,7.5640e-04
11.2423210,1.1267e-03
11.2583876,7.5680e-04
11.2995195,9.0667e-04
11.3224888,1.0531e-03
11.3400459,2.2984e-02
11.3706131,1.7031e-02
11.3972874,1.0927e-03
11.4255419,8.0845e-04
11.4509068,1.2621e-03
11.5501375,4.4344e-03
11.5656109,2.4045e-03
11.6417942,8.2028e-03
11.7330246,1.3302e-03
11.7895479,1.2998e-03
11.8256044,1.2198e-03
11.8347273,5.2877e-02
11.9004469,2.0741e-03
11.9368286,2.0147e-03
11.9483747,4.1119e-02
12.0760832,7.7571e-04
12.1591253,4.9943e-02
12.2298594,7.0816e-04
12.2416267,9.3711e-04
12.3286791,2.4595e-03
12.3516865,1.7121e-03
12.3921499,6.9531e-03
12.4216623,1.1118e-03
12.5490360,8.9274e-04
12.6487722,1.1712e-03
12.6621532,7.2601e-04
12.6718016,8.7775e-04
12.7102680,1.2840e-03
12.7232418,1.3507e-03
12.7747793,9.1909e-04
12.8012619,8.9164e-04
12.8572359,1.5272e-03
13.0485392,1.5574e-03
13.0584459,1.4283e-03
13.0676231,1.5491e-03
13.0784082,1.0429e-03
13.1321917,3.1081e-03
13.1878357,1.8716e-03
13.7927418,1.1118e-02
14.0676203,2.1604e-01
14.3020048,1.3185e-03
14.3336411,1.9547e-02
14.3850212,7.9439e-04
14.4476681,1.0845e-03
14.4585028,9.6491e-04
14.4866829,8.8692e-04
14.5225992,6.1499e-04
14.5883722,2.5528e-03
14.6239758,1.5741e-03
14.6994295,5.3726e-02
14.7631998,2.2181e-03
14.8314075,1.2954e-03
14.8671265,8.2555e-04
14.8785925,1.0927e-03
14.8918438,8.5036e-04
14.9047537,9.4166e-04
14.9166346,1.9568e-03
14.9292383,9.9523e-04
14.9399700,1.0899e-02
14.9604120,1.4501e-03
14.9819832,9.6369e-04
15.0053778,1.0664e-03
15.0300150,1.3227e-03
15.0425606,5.1121e-02
15.2284479,1.1331e-03
15.2931890,3.0349e-02
15.3355932,1.0626e-02
15.3615818,1.1757e-03
15.4055424,1.1167e-01
15.5949430,1.1558e-03
15.6565475,1.0202e-02
15.6820002,1.1163e-03
15.7407236,2.6826e-02
15.7801466,9.5575e-04
15.8086462,9.6497e-04
15.8250875,1.3807e-03
15.8411446,9.3234e-04
15.8788023,1.1576e-03
15.8919220,7.0305e-04
15.9022703,8.4881e-04
15.9136705,1.5611e-03
15.9247990,9.8324e-04
15.9319229,2.3607e-03
15.9436445,1.0521e-03
15.9544668,1.0163e-03
15.9686861,7.4562e-04
15.9978352,7.2222e-04
16.0250893,1.3951e-03
16.0460358,8.2129e-04
16.0673199,1.3468e-03
16.1142216,1.3367e-03
16.1286354,5.6086e-03
16.1451797,1.8206e-03
16.1538773,7.9597e-03
16.1683884,2.0449e-03
16.1786079,1.9818e-03
16.1952820,1.5552e-03
16.2166157,1.4528e-03
16.2327843,1.8179e-03
16.2766418,1.5539e-03
16.2911510,1.4291e-03
16.3066940,1.0712e-03
16.3210430,8.3887e-04
16.3798084,8.3308e-04
16.3920708,9.4555e-04
16.4023628,1.1383e-03
16.4274597,1.3177e-03
16.4377232,1.4939e-03
16.4900436,9.5805e-04
16.5054245,6.5632e-04
16.5185814,1.5535e-03
16.5306396,1.0525e-02
16.5652466,1.4527e-03
16.5789433,1.0129e-03
16.5917225,1.2752e-03
16.6045227,1.0016e-03
16.6399269,6.8295e-04
16.6514130,7.8972e-04
16.6643696,7.8869e-04
