time,runtime
2.7318575,8.4331e-03
2.9152541,2.2706e-02
2.9630640,3.7592e-01
3.4771445,1.5451e-01
3.9763069,7.3728e-03
3.9964736,5.9001e-03
4.1643066,1.5641e-02
4.2006545,1.6974e-02
4.4513946,5.2370e-01
4.9865823,8.9341e-03
5.0079803,7.9645e-02
5.9347620,5.9597e-03
5.9522285,5.3457e-03
6.0078278,1.1586e-01
7.8961101,6.8324e-02
7.9843035,6.3140e-02
8.2209940,5.4797e-03
8.2379475,6.0015e-03
8.2555561,3.1096e-02
8.3601971,2.2217e-02
8.5387974,2.9719e-02
8.6538229,9.2299e-02
9.3615999,5.4836e-03
11.1099377,1.8764e-01
11.3278074,1.1004e-02
11.3593683,6.0542e-03
11.3869677,5.2924e-03
11.4710264,6.1680e-03
11.5637751,8.5637e-03
11.5986748,3.3987e-01
11.9515963,2.8037e-02
11.9963636,5.6181e-03
12.0158348,6.6000e-03
12.0574903,8.5232e-03
12.0835800,1.0371e-02
12.2361555,5.5827e-03
12.2632885,5.7381e-03
12.2815886,5.7812e-03
12.2994709,2.2327e-02
12.3482981,9.5555e-03
12.4438887,2.1403e-01
12.6690969,3.9299e-01
13.1955185,6.4613e-03
13.2135859,1.1978e-01
13.3434572,1.3681e+00
14.7535515,5.9279e-03
14.7730360,3.6911e-02
14.9154263,9.2114e-03
14.9385557,1.9683e-01
15.1481800,6.9607e-03
15.1674299,2.7995e-02
15.9212770,1.8839e-02
16.0703316,7.4563e-03
16.0930367,5.2888e-03
16.1126728,6.7306e-03
16.1374969,1.5184e-02
16.1679401,5.6402e-03
16.1882877,9.7374e-03
16.2155056,6.5959e-03
16.2436237,8.3487e-03
16.2653503,7.4815e-03
16.2891636,7.4442e-03
16.7460690,3.0526e-02
16.7887573,5.8396e-03
16.8107586,5.0019e-03
16.8356228,5.7832e-01
17.7507458,2.8806e-03
18.3724651,1.4846e-01
18.5392056,2.5101e-01
18.8810463,3.4958e-03
18.8926697,9.2749e-03
18.9185448,8.9110e-02
20.6935921,3.6114e-01
21.2520771,4.8179e-03
21.2672806,1.9535e-01
21.6156216,4.2238e-03
21.6320457,6.1320e-02
22.0204964,5.6065e-03
22.0365753,7.9150e-02
22.3366547,1.3421e-02
22.8731899,3.7889e-03
23.0193176,1.8598e-01
23.2067013,1.1936e+01
37.6322517,4.7263e-03
37.6479187,6.1762e-03
37.6651344,5.4456e-03
37.6817665,1.6291e-02
37.7606430,8.2883e-03
37.8749199,2.2411e-02
39.5748978,6.1754e-03
39.6111679,7.5780e-03
39.6379433,5.5493e-03
39.6537743,1.7202e-01
39.8436813,5.9867e-03
39.8751068,2.0826e-02
39.9092522,5.6458e-03
39.9425278,1.0262e-02
39.9687157,5.1182e-03
39.9860573,8.8075e-03
40.0111237,1.5057e-02
40.0412369,4.7795e-03
40.0590668,1.4170e-02
