time,runtime
1.1841230,3.0445e-03
1.1988647,1.1973e-02
1.2359467,1.3441e+00
2.6681378,1.8410e+00
4.5477443,1.2273e-03
4.8909616,9.7662e-01
6.0096321,2.3406e-03
6.2573223,1.0030e-02
6.2933550,3.4811e-03
6.3130603,3.0462e-03
6.3470101,6.6536e-03
6.5698719,1.9077e-02
6.6019645,3.2450e-03
6.6477551,3.6742e-03
6.6690378,3.2342e-03
6.6872578,2.6169e-03
6.7086768,2.6101e-03
6.7212100,4.0196e-03
6.8583221,6.1641e-02
6.9638882,5.9298e-03
6.9848719,2.9003e-03
6.9983630,1.5178e-01
7.2157607,2.6144e-03
7.2329764,6.3252e-03
7.2553778,4.3197e-03
7.2753839,6.7186e-03
7.2996922,4.6968e-03
7.3305516,4.7271e-03
7.3534284,1.8229e-02
7.3827434,1.2155e-03
7.4000406,9.4117e-03
7.4751849,1.2458e-02
7.5272079,1.2518e-01
7.7106261,1.1256e-01
8.2972612,3.1095e-02
8.3841105,1.7557e-02
8.4149790,1.4651e+00
9.9557476,2.5082e-01
10.4346952,2.9607e-03
10.4539585,5.7209e-03
10.4716921,2.6067e-03
10.4918165,3.5461e-03
10.5085211,8.2950e-03
10.5276728,6.0519e-03
10.5542374,2.4873e-03
10.5730581,6.3864e-03
10.5936871,5.2885e-03
10.6970901,5.0189e-01
11.2974434,9.1723e-03
11.4003944,5.3952e-03
11.5205154,2.9498e-03
11.6825180,2.9209e-03
11.9791756,3.7488e-02
12.7279282,1.4565e-01
13.0548487,9.5050e-02
13.2262506,4.7076e-03
15.0823965,1.2665e-02
15.1368790,7.4324e-03
15.1999760,1.8441e-02
15.3662291,3.6380e-02
15.5156879,6.3665e-03
15.5370207,3.2646e-03
15.7136784,1.8222e-01
16.3203602,6.0455e-03
16.3430271,5.7074e-03
16.4073219,5.2919e-03
16.5879040,5.6476e-03
16.6062450,5.6853e-03
16.6280193,5.4205e-03
16.6584682,6.9123e-03
16.6801777,2.7892e-03
16.6954708,2.0802e-03
16.7220192,5.3815e-03
16.7504025,5.5042e-03
16.7745132,6.5062e-03
17.1777306,3.4455e-03
17.3739948,4.9626e-02
17.4793301,2.9199e-03
17.5121231,3.7632e-03
17.5301132,7.8744e-03
17.7343636,7.9177e-03
17.7797642,4.7160e-03
17.8028374,7.5211e-03
17.8265209,2.6587e-03
17.8440514,7.3355e-03
17.8761120,1.0056e-02
17.9028492,3.3116e-03
17.9182053,1.1176e-02
17.9448414,2.5532e-03
18.0419979,4.5907e-03
18.0554523,5.1358e-03
18.0744190,4.5110e-03
18.3271828,4.2955e-03
18.4354115,3.3308e-03
18.4538498,8.3311e-04
18.4622211,3.1831e-03
18.4704685,2.2477e-03
18.4759426,1.2096e-03
18.4799671,5.4311e-04
19.8774548,1.2428e-03
19.9054527,4.7202e-03
19.9224339,2.6736e-03
20.2812176,2.7077e-02
20.3623219,2.4583e-02
20.4147263,1.7969e-01
20.6243248,3.1166e-03
20.6382065,1.2819e-02
20.6664257,1.1095e-02
20.6920166,6.3837e-03
20.7146149,5.5293e-03
20.7368755,8.1562e-03
20.7600460,6.8041e-03
20.8821182,1.1547e-02
20.9501152,6.9240e-03
21.0919724,8.4503e-03
21.1122723,4.2129e-03
21.1269913,5.0182e-03
21.1454697,6.4605e-03
21.1669540,3.7511e-04
21.1857262,3.2490e-03
21.1971130,2.8675e-03
21.2147827,2.3315e-01
21.4650326,1.4065e-03
21.4781399,6.9996e-03
21.4992256,9.2349e-03
21.5249825,3.4276e-03
21.6161232,2.3386e-02
21.6548519,2.2053e-03
21.6718140,2.8528e-03
21.6907787,2.2931e-02
21.7248783,3.3270e-03
21.7422371,2.7801e-03
21.7629814,5.9567e-03
21.7793121,3.1233e-03
21.8060913,5.4754e-03
21.8250179,2.9846e-03
21.8423862,2.7545e-03
21.8675213,5.2989e-03
21.8917255,4.0005e-03
21.9147453,5.7722e-03
21.9473763,3.3355e-03
21.9621925,8.5071e-04
21.9893970,9.0235e-03
22.0325718,2.3001e-02
22.0710220,3.3178e-03
22.0856304,4.2911e-03
22.1224518,9.3537e-03
22.2082100,5.3468e-03
22.2239838,1.3657e-03
22.2383347,3.8350e-03
22.2784691,7.2849e-03
22.3029747,4.8981e-03
22.3314304,5.1431e-03
22.3563538,3.4476e-03
22.3903313,7.9940e-03
22.4094162,3.4258e-03
22.4303551,5.0509e-03
22.4879780,4.8276e-03
22.5133381,5.2919e-03
22.5345306,2.5580e-03
22.5531425,3.8397e-03
22.5725746,3.8584e-03
22.5892315,2.3074e-03
22.6080055,4.1107e-03
22.6210155,6.4640e-03
22.6382961,4.0188e-03
22.6571274,1.1613e-02
22.7269917,1.0139e-02
22.7602081,2.5888e-02
23.1697578,8.5527e-02
23.3003883,1.7480e-01
30.0152931,9.1464e-04
30.1252346,4.0295e-01
30.6319656,1.9397e-02
31.2395954,3.7649e-03
31.2634277,1.5021e-03
31.2816277,2.6934e-03
31.3032169,2.7975e-03
31.3192310,5.4022e-03
31.3491764,5.4005e-03
31.3659573,4.2233e-03
31.4122086,5.3022e-03
31.4319801,8.7087e-03
31.4452286,5.1962e-03
31.4622726,4.9314e-03
31.4831982,3.2242e-03
31.5804234,4.9616e-03
31.6307030,1.5329e-01
32.1053429,5.5842e-01
32.8171425,3.4558e-03
32.8289833,1.1724e-02
32.8578224,3.6661e-02
32.9088326,3.1504e-03
32.9866295,4.0637e-03
33.0010338,4.1755e-03
33.0302391,2.5572e-03
33.0597687,1.0335e-02
33.1905327,4.4743e-03
33.2505836,4.6743e-03
33.2986259,3.3279e-03
33.3214188,2.5056e-03
33.4340935,5.3195e-03
33.4510193,3.3471e-03
33.4780235,2.7272e-03
33.4955254,4.1493e-03
33.5976639,2.0183e-03
33.6123161,5.6330e-03
33.6305466,1.0307e-01
33.7440453,5.5915e-03
33.8135414,5.7261e-03
33.8389359,3.4398e-03
33.8852234,8.3923e-04
33.9048576,5.8120e-03
33.9620018,1.2612e-01
34.5903130,9.2608e-02
34.8763313,5.4588e-03
34.9021378,5.8573e-03
34.9286804,5.7671e-03
34.9518738,1.9337e-03
34.9690285,2.6131e-03
34.9907646,4.1552e-03
35.0104332,6.5619e-03
35.0296326,8.9748e-04
35.0463524,1.7442e-02
35.0774841,6.7527e-03
35.0983734,8.6062e-03
35.2201233,1.3534e-01
35.3732224,2.2793e+00
37.6855621,1.6481e-01
37.8769302,6.6083e-03
37.8963737,2.1178e-01
38.1202278,5.7538e-03
38.1401901,6.2675e-03
38.1667442,2.6768e-03
38.2904625,3.7562e-03
38.3069687,1.1969e-02
38.3364830,3.2373e-03
38.3824806,1.4350e-02
38.4123993,5.2902e-03
38.4281349,3.1948e-03
38.4481430,4.7169e-03
38.4762001,1.0261e-02
38.5384102,6.3555e-03
38.5752411,4.1633e-03
38.5907097,1.7943e-03
38.6172676,4.5484e-03
38.6373787,1.5878e-02
38.6671028,4.8388e-03
38.7040863,4.6137e-02
38.7615585,9.8846e-02
40.0342560,4.8988e-02
40.1058273,7.0284e-03
40.3887825,6.7720e-03
40.4118881,3.4261e-03
40.4287148,5.1547e-03
40.4554253,3.2989e-03
40.4717216,2.4048e-03
40.4935150,5.9269e-03
40.5146332,5.1350e-03
40.5473595,1.4847e-03
40.5765114,3.0754e-03
40.6029129,6.5525e-03
40.6250343,4.5306e-03
40.6551476,4.7705e-03
40.6751938,5.8715e-03
40.6996078,1.9487e-03
40.7196121,1.0763e-02
42.1676865,3.3195e-02
42.2180405,9.8029e-03
42.2405701,3.1858e-04
42.3341980,5.7356e-03
42.3549767,3.6287e-03
42.3737030,4.5736e-03
42.4164276,9.3518e-03
42.4403458,2.8505e-02
42.4807358,2.0691e-02
42.5193138,3.0737e-03
42.5341835,5.2286e-03
42.5606194,5.7206e-03
42.5831146,3.6981e-03
42.6229248,7.6161e-03
42.6694489,9.5414e-03
42.6896057,2.7025e-03
42.7134094,8.5498e-03
42.7345390,2.7901e-03
42.7494354,5.1098e-03
42.7678795,5.6856e-03
42.7903404,6.3230e-03
42.8095932,2.6518e-03
42.8306274,3.8697e-03
42.8538055,7.3002e-03
42.8739777,6.9078e-03
42.8996849,8.6903e-03
42.9243584,3.8874e-03
42.9389458,7.0041e-03
42.9633522,3.7639e-03
42.9862823,8.0736e-03
43.0088272,6.2602e-03
43.0311966,6.3216e-03
43.0514107,7.3837e-03
43.0767670,5.4487e-03
43.0926247,1.0805e-02
43.1195869,5.1411e-03
43.1528091,7.0475e-03
43.1732864,6.6450e-03
43.1923790,4.5636e-03
43.2056656,4.2488e-03
43.2261658,2.9456e-03
43.2411232,5.4475e-03
43.2673988,2.7949e-03
43.2796783,6.0694e-03
43.2959251,6.4870e-03
43.3114166,3.3552e-03
43.3337402,9.1161e-03
43.3582802,7.3477e-03
43.3805466,9.8132e-03
43.4077644,9.1463e-04
43.4228401,3.6748e-03
43.4553757,1.3564e-03
43.4768677,5.7524e-03
43.5088692,5.3938e-03
43.5391235,4.6894e-03
43.5600700,1.5401e-03
43.5767136,4.9302e-03
43.6011925,7.0028e-03
43.6262741,8.1856e-03
43.6550331,2.8233e-03
43.6671028,3.6802e-03
43.6846275,6.7750e-03
43.7057877,3.1766e-03
43.7217484,1.6097e-03
43.7419777,5.6822e-03
43.7608871,4.4244e-03
43.7817001,6.5913e-03
43.8090057,3.2609e-03
43.8338013,3.2927e-03
43.8519058,6.9588e-03
43.8674622,4.4943e-03
43.8827286,4.8756e-03
43.9014511,9.6264e-03
43.9224052,4.5163e-03
43.9400291,2.9310e-03
43.9563904,5.6273e-03
43.9759827,6.0407e-03
43.9933128,7.5963e-03
44.0121193,2.8329e-03
44.0469017,4.1409e-03
44.0805626,3.1387e-03
44.0998230,5.8328e-03
44.1197891,5.3697e-03
44.1370926,5.5755e-03
44.1577950,4.9244e-03
44.1844292,2.8064e-03
44.2035370,8.2702e-04
44.2146111,6.0852e-03
44.2329445,3.0871e-03
44.2468414,6.4596e-03
44.2962074,3.8489e-03
44.3190346,4.2542e-03
44.3418999,3.1903e-03
44.3602028,4.7468e-03
44.3777237,2.5603e-03
44.3932228,3.2418e-03
44.4119453,4.4574e-03
44.4355354,3.3385e-03
44.4528236,7.0647e-03
44.4747734,6.6121e-03
44.5026131,3.7807e-03
44.5194397,4.7276e-03
44.5360832,5.9362e-03
44.5643845,5.2426e-03
44.5845413,3.6025e-03
44.6031532,1.9279e-02
44.6397247,2.8296e-03
44.6579132,2.7749e-03
44.6833725,1.0400e-02
44.8254395,5.8281e-03
44.8986320,1.4693e-02
44.9353790,4.9681e-03
44.9562950,3.3188e-03
44.9713173,5.6938e-03
44.9914207,3.3437e-03
45.0235481,5.9761e-02
45.0968971,3.2088e-03
45.1217194,5.1524e-03
45.1364326,5.4975e-03
45.1552162,2.9119e-03
45.1736298,2.7295e-03
45.1874771,5.2318e-03
45.2569084,4.9139e-03
45.2782097,5.9083e-03
45.3012505,1.0562e-02
45.3235359,7.3868e-03
45.3474617,5.7632e-03
45.3748589,6.5108e-03
45.3944016,6.4492e-03
45.4250450,3.6930e-03
45.4441566,3.8430e-03
45.4678116,5.2856e-03
45.4840050,5.6077e-03
45.5034752,5.8553e-03
45.5233078,2.5051e-03
45.5377808,2.6037e-03
45.5520592,4.8122e-03
45.5822487,6.1714e-03
45.6003036,3.0897e-03
45.6189308,1.3995e-02
45.6431961,3.5398e-02
45.6916809,3.3950e-03
45.7096710,4.3433e-03
45.7230759,5.3011e-03
45.7399826,3.0479e-03
45.7581558,5.3507e-03
45.7725792,1.0131e-02
47.2128258,6.3986e-03
47.2324409,1.4528e-02
47.2578964,3.5919e-03
47.3031845,6.5233e-03
47.3447227,5.6203e-03
47.3679924,2.7024e-03
47.3868713,6.6996e-03
47.4227829,8.5535e-03
47.4568787,3.6373e-03
47.4833374,3.1017e-03
47.5080643,2.1251e-02
47.5422859,4.3466e-03
47.5608215,1.0948e-02
47.5851059,4.9762e-03
47.6048851,5.6467e-03
47.6238289,2.6374e-03
47.6399231,5.0666e-03
47.6652985,7.3759e-03
47.6849976,3.5569e-03
47.7005920,6.9691e-03
47.7314606,4.3385e-03
47.7515411,5.5712e-03
47.7730980,4.8609e-03
47.7955589,1.1836e-03
47.8055077,3.7711e-03
47.8223572,3.9919e-03
47.8412399,5.3184e-03
47.8591766,2.7488e-03
47.8783569,3.2594e-03
47.8966522,4.7793e-03
47.9177361,4.6333e-03
47.9674454,2.5670e-03
47.9894180,5.8973e-03
48.0129967,2.9343e-03
48.0318413,3.1124e-03
48.0457649,9.1808e-03
48.0710258,3.5968e-03
48.0834923,7.9415e-03
48.1025543,4.8077e-03
48.1171227,3.8327e-03
48.4317398,1.6478e-03
48.4505463,3.8268e-03
48.5708046,8.5568e-02
48.6857338,3.3334e-03
48.7063789,7.8717e-03
48.7294693,2.9266e-03
48.9145470,6.1375e-03
48.9618263,4.0943e-03
48.9786568,4.7096e-02
49.0728493,3.2776e-02
49.1207314,5.4957e-03
49.2504196,2.3271e-01
49.4978943,5.8196e-03
49.5199661,5.0130e-03
49.5867233,5.8079e-03
49.6038246,2.0314e-02
49.6390533,4.5258e-03
49.6581841,2.3925e-03
49.6824379,3.2702e-03
49.6989326,1.8561e-03
49.7119217,2.5261e-03
49.7277603,3.0341e-03
49.7413330,1.9199e-02
49.7957840,3.0904e-03
49.8139610,3.7757e-03
49.8340302,3.4223e-03
49.8560028,5.2126e-03
49.8775711,6.3992e-03
49.8991470,3.6284e-03
49.9142456,6.8029e-03
49.9358177,2.9497e-03
49.9567413,4.0107e-03
49.9743996,3.2787e-03
49.9947166,6.3072e-03
50.0082855,2.8428e-03
50.0203514,4.8373e-03
50.0449028,5.2468e-03
50.0624352,3.4592e-03
50.0920906,3.1244e-03
50.1151047,6.9126e-03
50.1325493,1.3499e-03
50.1487312,3.3718e-03
50.1758881,3.6090e-03
50.1976547,4.2604e-03
50.2181320,7.4509e-03
50.2430687,1.0887e-03
50.2581177,8.3402e-03
50.2838020,5.6645e-03
50.3033981,7.8969e-03
50.3249855,3.3634e-03
50.3425369,7.8849e-03
50.3643990,3.5022e-03
50.3807030,1.1478e-02
50.4094734,7.0998e-03
50.4313545,1.3128e-02
50.4732170,1.1042e-03
50.4853554,3.3811e-03
50.5106163,3.1928e-03
50.5265770,2.5680e-03
50.5457344,5.5929e-03
50.5714684,5.4949e-03
50.6088791,3.4300e-03
50.6220741,3.4251e-03
50.6362267,4.9827e-03
50.6622009,4.2651e-03
50.6785774,4.1284e-02
50.7440948,6.8281e-03
50.7686424,6.3686e-03
50.7928886,3.2590e-03
50.8183937,4.1929e-03
50.8347969,3.9560e-03
50.8591194,5.6403e-03
50.8666840,6.2953e-04
50.8695831,5.4821e-04
50.8717690,3.5342e-04
50.8747673,3.4219e-04
52.5551949,4.1182e-03
52.5678902,4.5150e-03
52.5927849,3.2601e-03
52.6123734,6.0317e-03
52.6339531,5.7144e-03
52.6539078,7.4699e-03
52.6859169,7.2194e-03
52.7104836,5.6732e-03
52.7318001,5.5698e-03
52.7499809,1.0601e-02
52.7785034,4.9871e-03
52.7993050,6.2851e-03
52.8195190,3.8377e-03
52.8392525,2.9896e-03
52.8533783,5.2646e-03
52.8716354,6.1403e-03
52.8930244,5.3687e-03
