time,runtime
0.0000040,1.9949e+00
1.9949144,1.4472e-02
2.0093932,4.5128e-03
2.0139098,4.1898e-03
2.0181029,6.0630e-03
2.0241692,8.2381e-03
2.0324111,2.8545e-03
2.0352688,2.1366e-02
2.0566380,2.3520e-03
2.0589957,1.6454e-02
2.0754545,2.9366e-03
2.0783942,2.3132e-03
2.0807104,2.7330e-03
2.0834470,2.8783e-03
2.0863299,2.6312e-03
2.0889654,3.3476e-03
2.0923176,2.4553e-03
2.0947771,3.4074e-03
2.0981879,2.3794e-03
2.1005716,1.9622e-03
2.1025372,3.0902e-03
2.1056318,2.0693e-03
2.1077039,3.0337e-03
2.1107421,3.2664e-03
2.1140127,3.1703e-03
2.1171877,2.0669e-03
2.1192589,2.5871e-03
2.1218488,3.8015e-03
2.1256549,2.9441e-03
2.1286037,5.2519e-03
2.1338611,3.2449e-03
2.1371088,1.4055e-01
2.2776585,5.2548e-02
2.3302109,2.0590e-03
2.3322742,1.6047e-03
2.3338830,2.5036e-03
2.3363893,1.8328e-03
2.3382263,1.1985e-03
2.3394277,1.6437e-03
2.3410757,1.8786e-03
2.3429585,1.8913e-03
2.3448527,7.4490e-03
2.3523061,1.3037e-03
2.3536129,1.6142e-03
2.3552299,2.3974e-03
2.3576314,2.1372e-03
2.3597729,1.2621e-03
2.3610380,2.8107e-03
2.3638530,1.5535e-03
2.3654106,1.4249e-03
2.3668382,2.8426e-03
2.3696849,1.8805e-03
2.3715699,1.9417e-03
2.3735163,2.2307e-03
2.3757513,1.4546e-03
2.3772087,1.5665e-03
2.3787780,1.0170e+01
12.5490093,5.6753e-03
12.5546913,8.0090e-03
12.5627069,9.6737e-03
12.5723858,6.9529e-03
12.5793428,2.4299e-01
12.8223333,9.9875e-03
12.8323250,2.8837e-02
12.8611660,8.4742e-03
12.8696470,6.2989e-03
12.8759508,6.3595e-03
12.8823147,7.9341e-03
12.8902559,1.0791e-02
12.9010515,8.3339e-03
12.9093924,1.5301e+00
14.4394741,4.9464e-03
14.4444246,7.0786e-03
14.4515076,5.9118e-03
14.4574232,4.8037e-03
14.4622316,3.4358e-03
14.4656706,4.6228e-03
14.4702969,6.1113e-03
14.4764147,7.0137e-03
14.4834309,5.4184e-03
14.4888525,6.5588e-03
14.4954166,5.4266e-03
14.5008459,5.5029e-03
14.5063524,1.3698e-02
14.5200539,5.9942e-03
14.5260534,5.7885e-03
14.5318451,3.3243e-03
14.5351725,6.6350e-03
14.5418110,5.2062e-03
14.5470209,4.0341e-03
14.5510597,2.1775e-02
14.5728388,7.8590e-03
14.5807028,6.0092e-03
14.5867167,6.8308e-03
14.5935507,1.4462e-01
14.7381706,6.1108e-03
14.7442875,6.5637e-03
14.7508545,3.7885e-01
15.1297092,7.7252e-03
15.1374407,1.4440e-01
15.2818480,7.2978e-03
15.2891531,1.9338e-01
15.4825354,6.0809e-03
15.4886236,4.9129e-03
15.4935408,5.2732e+00
20.7667789,7.5233e-03
20.7743073,1.0414e-02
20.7847271,7.1375e-03
20.7918682,5.2932e-03
20.7971668,1.0636e-02
20.8078079,6.8634e-03
20.8146782,7.4458e-03
20.8221283,5.0709e-03
20.8272038,5.7167e-03
20.8329277,5.1858e-03
20.8381176,4.4617e-03
20.8425827,7.7695e-03
20.8503571,2.7986e-02
20.8783493,7.5437e-03
20.8858986,1.2989e-02
20.8988914,1.4972e-02
20.9138699,2.4944e-02
20.9388218,5.0407e-02
20.9892349,6.2232e-03
20.9954624,7.8819e-02
21.0742893,8.6042e-03
21.0828991,9.7664e-03
21.0926704,7.8997e-03
21.1005726,5.7440e-03
21.1063213,6.7460e-03
21.1130714,7.9126e-03
21.1209908,8.5453e-03
21.1295414,6.9832e-03
21.1365299,4.4629e-02
21.1811657,1.9315e-01
21.3743267,4.8355e-03
21.3791676,4.7070e-03
21.3838787,6.2726e-03
21.3901577,4.0607e-03
21.3942223,6.0076e-03
21.4002342,5.4256e-03
21.4056644,5.5805e-03
21.4112492,6.1599e-03
21.4174137,5.4720e-03
21.4228916,5.4042e-03
21.4283009,4.4715e-01
21.8754616,6.8057e-02
21.9435253,2.9520e-03
21.9464817,5.1991e-03
21.9516869,2.0953e-01
22.1612263,7.6670e-03
22.1688976,1.1266e-01
22.2815609,9.8887e-02
22.3804722,2.0189e-01
22.5823689,1.5338e-01
22.7357540,9.8781e-03
22.7456379,1.0052e-02
22.7556953,8.5559e-03
22.7642555,2.0864e+00
24.8506985,3.5099e-01
25.2016964,1.0601e-02
25.2123051,2.1615e-01
25.4284649,6.2037e-03
25.4346733,2.8593e-01
25.7206116,2.5503e+00
28.2708683,1.4628e-03
28.2723370,1.2608e-03
28.2736015,1.0688e-03
28.2746735,2.2074e+00
30.4821224,2.2205e-02
30.5043335,6.7588e-03
30.5110970,1.2861e-02
30.5239639,6.6129e-03
30.5305805,1.2674e-01
30.6573257,9.2760e-03
30.6666050,8.9762e-03
30.6755886,9.6429e-03
30.6852360,9.0234e-03
30.6942825,2.2522e-01
30.9195023,7.2605e-03
30.9267673,8.8364e-03
30.9356098,9.7700e-03
30.9453850,8.6303e-03
30.9540195,1.7951e+01
48.9053383,1.0227e-01
49.0076103,5.5415e-03
49.0131569,5.6625e-03
49.0188217,1.1889e-02
49.0307198,3.2031e-03
49.0339279,1.6539e-01
49.1993256,5.4362e-03
49.2047653,5.4530e-02
49.2593040,1.3986e+01
63.2450409,1.0366e-01
63.3487053,8.4187e-03
63.3571281,8.4614e-03
63.3655968,7.5541e-03
63.3731613,1.2078e-02
63.3852463,3.6858e-02
63.4221115,1.0124e-02
63.4322395,8.5766e-03
63.4408188,7.9047e-03
63.4487305,9.7536e-03
63.4584885,8.0308e-03
63.4665222,7.8323e-03
63.4743614,2.6780e-02
63.5011482,1.2690e-02
63.5138435,9.5846e-03
63.5234375,1.2045e-02
63.5354881,6.0823e-03
63.5415764,7.3821e-03
63.5489655,1.9207e-01
63.7410431,3.7205e-02
63.7782516,8.7639e-02
63.8658981,1.4940e-01
64.0153046,4.4035e-03
64.0197067,5.1380e-03
64.0248566,5.0458e-03
64.0299072,5.4796e-03
64.0353928,3.6715e-03
64.0390701,8.4691e-02
64.1237640,2.2230e-01
64.3460693,7.6079e-03
64.3536835,1.7798e-02
64.3714828,6.6230e-03
64.3781128,6.3179e-02
64.4412994,6.1902e-03
64.4474945,7.6958e-03
64.4551926,6.5820e-03
64.4617844,2.9304e-01
64.7548370,1.8326e-01
64.9381027,6.0235e-03
64.9441376,5.4008e-03
64.9495392,6.9187e-03
64.9564590,8.4584e-03
64.9649200,1.5863e-02
64.9807892,5.8054e-03
64.9866028,3.2463e-02
65.0190659,8.4480e-03
65.0275192,5.9724e-03
65.0334930,5.2459e-03
65.0387421,6.3556e-03
65.0451050,9.9879e-02
65.1449890,6.7290e-03
65.1517258,5.8242e-03
65.1575546,8.5221e-03
65.1660843,3.2911e-03
65.1693802,5.7881e-03
65.1751785,6.8937e-03
65.1820755,8.3514e-03
65.1904297,5.5366e-03
65.1959686,7.0090e-02
65.2660675,6.9449e-03
65.2730179,5.8077e-03
65.2788315,6.2392e-03
65.2850723,7.9810e-03
65.2930603,8.2449e-03
65.3013077,6.1646e-03
65.3074799,4.6105e-03
65.3120956,4.9868e-03
65.3170853,7.4302e-03
65.3245163,1.0066e-02
65.3345871,5.6021e-03
65.3401947,6.2740e-03
65.3464737,4.0997e-03
65.3505783,5.8769e-03
65.3564606,4.8757e-03
65.3613434,5.6100e-03
65.3669586,5.8042e-03
65.3727722,5.6224e-03
65.3783951,2.9319e-02
65.4077225,6.6892e+00
72.0968933,2.8848e-02
72.1257477,1.3602e-02
72.1393585,6.8701e-03
72.1462326,6.5152e-03
72.1527557,6.3416e-01
72.7869110,3.4377e-03
72.7903595,4.3181e-03
72.7946777,1.4912e-02
72.8095932,1.9338e+00
74.7434464,5.1240e-04
74.7439651,4.0265e-04
74.7443695,4.1280e-04
74.7447891,5.5210e-03
74.7503128,6.1182e-04
74.7509308,8.6016e-04
