time,runtime
0.6035591,2.3359e-01
0.8371494,3.8206e-03
0.8409738,1.0866e-02
0.8518435,4.0614e-03
0.8559079,3.8624e-03
0.8597736,9.8497e-03
0.8696260,6.7732e-03
0.8764021,4.3657e-03
0.8807715,9.8677e-03
0.8906454,7.0878e-03
0.8977389,7.1100e-03
0.9048526,4.4895e-03
0.9093459,1.0260e-02
0.9196129,6.6625e-03
0.9262815,6.6124e-04
0.9269460,4.0395e-03
0.9309895,7.6039e-03
0.9385979,8.5716e-03
0.9471728,3.8951e-03
0.9510713,7.8151e-03
0.9588895,7.3330e-03
0.9662271,7.1296e-02
1.0375271,1.1123e-02
1.0486575,7.0187e-04
1.0493629,1.1633e-02
1.0610007,7.4549e-03
1.0684605,8.3975e-03
1.0768617,6.4587e-04
1.0775114,7.9820e-03
1.0854983,1.0905e-02
1.0964086,6.1062e-04
1.0970228,6.6487e-03
1.1036781,7.1047e-03
1.1107868,3.7400e-03
1.1145302,5.5248e-02
1.1697828,4.3725e-03
1.1741593,6.5077e-03
1.1806746,1.4977e-02
1.1956564,1.8972e-02
1.2146332,4.5594e-03
1.2191973,7.8996e-03
1.2271042,7.2838e-03
1.2343955,6.6474e-03
1.2410470,7.0217e-03
1.2480726,6.7729e-03
1.2548497,4.0466e-03
1.2589014,2.5675e-02
1.2845836,7.1784e-03
1.2917663,6.9261e-03
1.2986985,1.0829e-02
1.3095336,7.2339e-03
1.3167716,7.7596e-04
1.3175510,6.6207e-03
1.3241761,3.9666e-03
1.3281490,1.0004e-03
1.3291535,3.7603e-03
1.3329178,9.7617e-03
1.3426849,1.8561e-02
1.3612509,7.0378e-03
1.3682950,6.7324e-03
1.3750353,1.0538e-02
1.3855811,1.7537e-02
1.4031231,3.8906e-03
1.4070213,7.4306e-04
1.4077681,4.8870e-04
1.4082594,7.1475e-03
1.4154122,7.3122e-03
1.4227287,3.2829e-03
1.4260154,1.0590e-02
1.4366139,6.9890e-03
1.4436074,6.4206e-03
1.4500333,1.2010e-02
1.4620485,7.0212e-03
1.4690759,1.0556e-02
1.4796365,7.5366e-03
1.4871775,7.5512e-03
1.4947340,7.9932e-03
1.5027317,4.1141e-03
1.5068500,7.1252e-03
1.5139805,1.0523e-02
1.5245117,4.0164e-03
1.5285320,8.6849e-04
1.5294036,6.5918e-03
1.5360019,3.3074e-03
1.5393125,7.2491e-03
1.5465648,6.8083e-03
1.5533773,3.5232e-03
1.5569049,4.4225e-03
1.5613339,6.8536e-03
1.5681920,6.7166e-03
1.5749135,7.6083e-03
1.5825281,3.3684e-03
1.5859008,2.0446e-02
1.6063548,1.7738e-02
1.6240977,6.7176e-03
1.6308198,1.0475e-02
1.6413023,6.7654e-03
1.6480722,6.8683e-03
1.6549457,3.9625e-03
1.6589136,7.5335e-03
