time,runtime
0.0016681,5.1878e-04
0.0653945,3.7734e-04
0.0998312,3.9747e-04
0.2659763,3.3460e-04
0.2911303,3.3969e-04
0.2946032,3.7758e-04
0.4713134,4.2115e-04
0.5924273,3.6672e-04
0.6067573,3.8412e-04
0.6644774,5.3093e-04
0.7319842,5.3385e-04
0.8352982,3.8337e-04
0.9063516,4.4864e-04
0.9748372,4.4907e-04
0.9797940,3.5521e-04
1.1053401,4.1545e-04
1.2060052,2.6624e-04
1.2921451,3.5650e-04
1.2963949,4.1589e-04
1.4026116,3.1072e-04
1.4506754,3.6084e-04
1.4961822,3.1361e-04
1.5592699,3.4689e-04
1.5632142,2.7724e-04
1.5915833,3.0246e-04
1.6680417,4.2211e-04
1.6872798,3.5255e-04
1.7369460,3.3390e-04
1.9543195,4.0681e-04
1.9679776,3.1982e-04
1.9725264,3.5366e-04
1.9904643,2.8317e-04
1.9962593,2.9586e-04
2.0244637,3.3275e-04
2.0820973,2.8054e-04
2.0892603,3.7411e-04
2.0943191,3.1518e-04
2.1407263,2.7180e-04
2.1446190,3.6796e-04
2.1523771,2.8989e-04
2.1563640,2.8726e-04
2.1625993,3.1371e-04
2.1741426,3.2429e-04
2.1814294,2.7909e-04
3.0440335,5.0048e-04
3.0474267,3.4853e-04
3.0513008,3.5442e-04
3.0550036,3.0971e-04
3.1378946,3.2638e-04
3.2005992,2.6403e-04
3.3027329,3.5856e-04
3.3137202,3.1294e-04
3.3474627,6.1964e-04
3.3797209,2.7250e-04
3.4161167,3.1875e-04
3.4208703,2.8233e-04
3.4317229,3.5224e-04
3.4352713,3.5954e-04
3.4426823,3.9046e-04
3.5026591,3.4083e-04
3.5071063,4.1718e-04
3.5450809,2.8251e-04
3.5487227,3.0513e-04
3.5782294,2.7006e-04
3.5819573,2.8814e-04
3.5859175,2.2100e-04
3.5909202,3.8435e-04
3.5941741,2.9399e-04
3.5988040,2.4914e-04
3.6096900,2.5950e-04
3.6276147,2.5092e-04
3.6310809,3.5338e-04
3.6345987,3.1383e-04
3.6399684,4.8450e-04
3.6441963,3.1837e-04
3.7083941,3.4140e-04
3.7123404,2.7973e-04
3.7219958,3.2898e-04
3.7352138,3.2283e-04
3.7395585,3.4101e-04
3.7428937,4.6521e-04
3.7467411,2.6630e-04
3.7510555,4.4063e-04
3.7552540,3.5773e-04
3.7827146,4.1868e-04
3.7865891,3.9793e-04
3.7906475,3.1864e-04
3.8076982,2.8624e-04
3.8120298,2.8913e-04
3.8158019,2.9727e-04
3.8191447,3.0907e-04
3.8261623,2.4523e-04
3.8299866,2.4442e-04
3.8335636,3.7729e-04
3.8722517,2.8091e-04
3.9022882,3.5145e-04
3.9070837,2.7360e-04
3.9117639,2.7824e-04
3.9159172,3.3380e-04
3.9200127,3.8953e-04
3.9241421,3.0802e-04
3.9274700,3.6642e-04
3.9318490,2.6821e-04
3.9840794,3.4488e-04
3.9875815,3.7618e-04
4.0068240,2.7254e-04
4.0106120,2.4271e-04
4.0325308,3.7976e-04
4.0554566,2.9221e-04
4.0594516,4.2456e-04
4.0635777,3.9724e-04
4.0683312,3.9865e-04
4.0737753,2.9308e-04
4.0792866,2.8797e-04
4.1064558,3.7648e-04
4.1111317,2.6340e-04
4.1403284,3.1739e-04
4.1460347,2.6598e-04
4.1504316,2.7302e-04
4.1542692,3.3201e-04
4.2048984,2.9607e-04
4.2086687,3.8478e-04
4.2222056,2.5614e-04
4.2570467,3.0567e-04
4.2633719,2.6347e-04
4.3056254,3.3427e-04
4.3141708,3.0669e-04
4.3250027,2.9093e-04
4.3408389,3.4837e-04
4.3482256,8.4846e-04
4.4150662,3.3319e-04
4.4185925,3.3452e-04
4.4387999,2.9781e-04
4.4442863,2.9082e-04
4.5489931,3.5785e-04
4.5959420,3.4547e-04
4.5994234,2.3755e-04
4.6380329,3.3092e-04
4.6438179,3.1644e-04
4.6472526,3.5331e-04
4.6565614,3.6250e-04
4.6709461,3.7481e-04
4.7113714,4.3264e-04
4.7399797,3.0172e-04
4.7432413,3.1133e-04
4.7525449,3.0897e-04
4.8403049,3.2509e-04
4.8462296,4.0023e-04
4.8490300,2.6995e-04
4.8523927,3.4577e-04
5.0847492,4.1013e-04
5.1002970,3.4788e-04
5.2035422,2.9530e-04
5.2104168,3.0482e-04
5.2671423,3.2891e-04
5.2707405,3.8661e-04
5.3183126,3.2485e-04
5.4278231,2.5468e-04
5.4570704,2.7465e-04
5.4604063,3.3023e-04
5.5037475,3.1840e-04
5.5690360,3.2264e-04
5.7182803,2.9894e-04
5.7218566,3.4855e-04
5.7258215,3.1761e-04
5.7396774,3.7798e-04
5.7536035,3.3252e-04
5.7570238,3.1420e-04
5.8246217,3.0038e-04
5.8285713,2.8880e-04
5.9386206,2.7561e-04
5.9433284,3.0838e-04
5.9921589,3.0348e-04
6.0129433,3.4950e-04
6.0448298,3.2210e-04
6.0552974,3.6708e-04
6.0610404,2.6620e-04
6.0700455,3.7022e-04
6.0734620,3.0287e-04
6.0787482,3.2966e-04
6.1262941,3.5176e-04
6.1308069,2.9322e-04
6.1344604,2.6735e-04
6.1389580,3.7496e-04
6.1424179,3.1569e-04
6.1464114,3.4668e-04
6.1513352,2.9692e-04
6.1632342,3.9193e-04
6.1679568,3.6802e-04
6.1722884,2.8770e-04
6.1756072,3.7830e-04
6.1808429,3.4323e-04
6.1846356,3.2904e-04
6.1886330,3.9590e-04
6.1947789,5.8548e-04
6.1989746,3.3254e-04
6.2077546,2.6469e-04
6.2118235,3.3545e-04
6.2644010,3.1173e-04
6.2677140,2.6994e-04
6.2711401,2.8239e-04
6.2839670,4.3290e-04
6.2877493,3.4957e-04
6.2917576,3.9361e-04
6.2957659,3.6282e-04
6.2998753,3.4850e-04
6.3038192,3.5432e-04
6.3068457,3.1923e-04
6.3104911,3.1115e-04
6.3145962,4.5506e-04
6.3185906,3.6173e-04
6.3221540,3.2783e-04
6.3353443,3.9613e-04
6.3392577,2.8960e-04
6.3425941,4.0191e-04
6.3525372,3.3163e-04
6.3600330,2.7795e-04
6.4252810,2.9545e-04
6.4292107,3.7498e-04
6.4402103,3.3559e-04
6.4451957,4.0659e-04
6.4498968,4.3043e-04
6.4538898,2.5260e-04
6.4591937,3.8002e-04
6.4651942,3.8028e-04
6.4728341,3.2972e-04
6.4757037,3.7622e-04
6.4798465,3.7689e-04
6.4895029,3.2440e-04
6.4930367,3.1603e-04
6.5131507,4.0798e-04
6.5186691,3.2302e-04
6.5628533,3.4981e-04
6.5686479,3.1316e-04
6.5787916,3.3640e-04
6.5843940,2.5599e-04
6.5875840,2.6942e-04
6.5916138,3.2559e-04
6.6035528,2.9573e-04
6.6210842,2.6911e-04
6.6241574,3.3772e-04
6.6278691,3.2335e-04
6.6363277,2.8725e-04
6.6399946,3.1498e-04
6.6435232,3.4546e-04
6.6872358,3.4262e-04
6.6906128,3.1227e-04
6.7294827,3.6935e-04
6.7430515,2.7575e-04
6.7464185,3.2228e-04
6.7667913,3.2726e-04
6.7755041,3.1281e-04
6.8032460,4.0663e-04
6.8098674,3.0914e-04
6.8149757,3.2213e-04
6.8205957,8.1325e-04
6.8716593,3.7280e-04
6.8752079,3.6915e-04
6.8815651,2.7615e-04
6.9387875,2.8645e-04
6.9491796,3.0621e-04
6.9522514,4.3671e-04
6.9558678,3.6901e-04
6.9609532,3.8832e-04
7.0276990,2.9073e-04
7.0486202,3.8510e-04
7.0567465,3.9588e-04
7.1021409,2.7116e-04
7.1191549,3.1539e-04
7.1693778,3.2495e-04
7.1729841,2.4877e-04
7.1767921,2.8467e-04
7.1806817,2.8125e-04
7.1899447,2.9845e-04
7.1941481,3.3285e-04
7.1975703,3.2910e-04
7.2090297,2.8066e-04
7.2132325,4.3299e-04
8.3417749,4.1136e-04
8.4745245,1.3520e-03
8.4886942,1.1625e-03
8.5675955,3.4434e-04
8.6036034,4.1053e-04
8.6081114,3.4652e-04
8.6123457,3.7543e-04
8.6348705,4.3247e-04
8.6393738,3.9567e-04
8.6434526,3.6044e-04
8.7587233,4.2269e-04
8.9192076,3.8509e-04
8.9593563,3.9107e-04
9.0336943,3.9888e-04
9.0541039,3.1702e-04
9.1873293,3.0158e-04
9.2619715,3.7219e-04
9.3278561,3.2085e-04
9.3419218,3.3592e-04
9.3883820,4.0348e-04
9.3922758,3.5717e-04
9.5113401,2.7250e-04
9.5463333,3.5924e-04
9.5972471,2.7230e-04
9.6651630,3.4122e-04
9.6691179,3.4278e-04
9.7278471,3.9078e-04
9.7337885,3.0658e-04
9.7379913,4.0217e-04
9.7798882,4.1138e-04
9.8695669,3.2422e-04
9.8728857,2.9935e-04
9.9681187,5.1674e-04
9.9824371,4.1209e-04
10.0558033,3.3847e-04
10.0721579,4.2519e-04
10.3234282,3.8945e-04
10.3572359,3.6204e-04
10.3650646,2.7159e-04
10.4026985,4.3912e-04
10.4273138,4.3480e-04
10.4797955,4.1822e-04
10.5387373,2.9355e-04
10.6063328,3.3454e-04
10.7153559,4.1068e-04
10.7183247,4.3466e-04
10.7606373,3.6040e-04
10.7830181,4.8201e-04
10.9280634,3.2961e-04
10.9739361,4.4836e-04
10.9822502,3.3250e-04
11.0028915,3.4903e-04
11.0069361,3.2550e-04
11.0370102,3.1741e-04
